Time,machine,slice,direction,Source,Destination,Length,time_bin,time_bin_sa
1.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
2.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
4.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
5.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
6.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
7.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
8.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
9.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
11.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,76.02,0.0,11.0
11.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,61.43,0.0,11.0
13.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,75.84,0.0,13.0
15.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
16.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
18.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
19.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
20.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
21.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,61.84,0.0,21.0
21.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
23.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,63.92,0.0,23.0
24.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,69.87,0.0,24.0
25.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,65.86,0.0,25.0
26.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,53.88,0.0,26.0
27.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
27.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
28.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
29.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
31.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
33.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,68.65,0.0,33.0
35.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
35.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
37.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,51.64,0.0,37.0
39.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,57.57,0.0,39.0
40.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
42.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
43.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,74.04,0.0,43.0
45.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
46.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
48.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
49.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
51.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
52.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
54.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
56.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
57.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
58.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0.0,,
59.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
61.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0.0,,
