Time,Source,Destination,Length
0.0,172.30.1.250,172.30.1.1,3
0.1,172.30.1.250,172.30.1.1,31
0.2,172.30.1.1,172.30.1.250,94
0.3,172.30.1.1,172.30.1.250,94
0.4,172.30.1.250,172.30.1.1,11
0.5,172.30.1.250,172.30.1.1,4
0.6,172.30.1.1,172.30.1.250,27
0.7,172.30.1.1,172.30.1.250,77
0.8,172.30.1.1,172.30.1.250,25
0.9,172.30.1.250,172.30.1.1,89
1.0,172.30.1.250,172.30.1.1,28
1.1,172.30.1.1,172.30.1.250,35
1.2,172.30.1.250,172.30.1.1,0
1.3,172.30.1.250,172.30.1.1,20
1.4,172.30.1.250,172.30.1.1,43
1.5,172.30.1.1,172.30.1.250,27
1.6,172.30.1.250,172.30.1.1,43
1.7,172.30.1.1,172.30.1.250,48
1.8,172.30.1.1,172.30.1.250,44
1.9,172.30.1.250,172.30.1.1,5
2.0,172.30.1.250,172.30.1.1,68
2.1,172.30.1.1,172.30.1.250,48
2.2,172.30.1.1,172.30.1.250,37
2.3,172.30.1.250,172.30.1.1,79
2.4,172.30.1.250,172.30.1.1,46
2.5,172.30.1.250,172.30.1.1,90
2.6,172.30.1.1,172.30.1.250,84
2.7,172.30.1.1,172.30.1.250,37
2.8,172.30.1.250,172.30.1.1,29
2.9,172.30.1.250,172.30.1.1,48
3.0,172.30.1.1,172.30.1.250,81
3.1,172.30.1.250,172.30.1.1,20
3.2,172.30.1.1,172.30.1.250,26
3.3,172.30.1.250,172.30.1.1,89
3.4,172.30.1.250,172.30.1.1,82
3.5,172.30.1.1,172.30.1.250,81
3.6,172.30.1.1,172.30.1.250,93
3.7,172.30.1.1,172.30.1.250,59
3.8,172.30.1.1,172.30.1.250,81
3.9,172.30.1.250,172.30.1.1,28
4.0,172.30.1.250,172.30.1.1,98
4.1,172.30.1.250,172.30.1.1,29
4.2,172.30.1.250,172.30.1.1,40
4.3,172.30.1.1,172.30.1.250,8
4.4,172.30.1.1,172.30.1.250,72
4.5,172.30.1.250,172.30.1.1,40
4.6,172.30.1.1,172.30.1.250,63
4.7,172.30.1.1,172.30.1.250,82
4.8,172.30.1.1,172.30.1.250,33
4.9,172.30.1.1,172.30.1.250,95
5.0,172.30.1.250,172.30.1.1,33
5.1,172.30.1.250,172.30.1.1,54
5.2,172.30.1.250,172.30.1.1,51
5.3,172.30.1.1,172.30.1.250,17
5.4,172.30.1.250,172.30.1.1,11
5.5,172.30.1.250,172.30.1.1,14
5.6,172.30.1.1,172.30.1.250,20
5.7,172.30.1.250,172.30.1.1,54
5.8,172.30.1.250,172.30.1.1,49
5.9,172.30.1.1,172.30.1.250,59
6.0,172.30.1.250,172.30.1.1,70
6.1,172.30.1.250,172.30.1.1,1
6.2,172.30.1.250,172.30.1.1,14
6.3,172.30.1.250,172.30.1.1,68
6.4,172.30.1.250,172.30.1.1,98
6.5,172.30.1.250,172.30.1.1,14
6.6,172.30.1.1,172.30.1.250,20
6.7,172.30.1.1,172.30.1.250,92
6.8,172.30.1.250,172.30.1.1,33
6.9,172.30.1.250,172.30.1.1,97
7.0,172.30.1.1,172.30.1.250,13
7.1,172.30.1.250,172.30.1.1,38
7.2,172.30.1.250,172.30.1.1,64
7.3,172.30.1.250,172.30.1.1,19
7.4,172.30.1.1,172.30.1.250,20
7.5,172.30.1.250,172.30.1.1,99
7.6,172.30.1.250,172.30.1.1,0
7.7,172.30.1.250,172.30.1.1,62
7.8,172.30.1.1,172.30.1.250,46
7.9,172.30.1.250,172.30.1.1,39
8.0,172.30.1.1,172.30.1.250,30
8.1,172.30.1.250,172.30.1.1,10
8.2,172.30.1.1,172.30.1.250,62
8.3,172.30.1.250,172.30.1.1,97
8.4,172.30.1.250,172.30.1.1,16
8.5,172.30.1.1,172.30.1.250,60
8.6,172.30.1.250,172.30.1.1,21
8.7,172.30.1.1,172.30.1.250,77
8.8,172.30.1.1,172.30.1.250,27
8.9,172.30.1.250,172.30.1.1,96
9.0,172.30.1.250,172.30.1.1,25
9.1,172.30.1.250,172.30.1.1,51
9.2,172.30.1.250,172.30.1.1,83
9.3,172.30.1.1,172.30.1.250,66
9.4,172.30.1.1,172.30.1.250,31
9.5,172.30.1.1,172.30.1.250,43
9.6,172.30.1.1,172.30.1.250,70
9.7,172.30.1.1,172.30.1.250,28
9.8,172.30.1.1,172.30.1.250,90
9.9,172.30.1.250,172.30.1.1,29
10.0,172.30.1.1,172.30.1.250,4
10.1,172.30.1.250,172.30.1.1,9
10.2,172.30.1.250,172.30.1.1,35
10.3,172.30.1.250,172.30.1.1,27
10.4,172.30.1.250,172.30.1.1,92
10.5,172.30.1.250,172.30.1.1,73
10.6,172.30.1.250,172.30.1.1,31
10.7,172.30.1.250,172.30.1.1,52
10.8,172.30.1.1,172.30.1.250,12
10.9,172.30.1.250,172.30.1.1,45
11.0,172.30.1.1,172.30.1.250,59
11.1,172.30.1.250,172.30.1.1,6
11.2,172.30.1.250,172.30.1.1,82
11.3,172.30.1.1,172.30.1.250,51
11.4,172.30.1.250,172.30.1.1,13
11.5,172.30.1.1,172.30.1.250,24
11.6,172.30.1.250,172.30.1.1,17
11.7,172.30.1.1,172.30.1.250,35
11.8,172.30.1.1,172.30.1.250,9
11.9,172.30.1.1,172.30.1.250,70
12.0,172.30.1.1,172.30.1.250,83
12.1,172.30.1.250,172.30.1.1,1
12.2,172.30.1.250,172.30.1.1,96
12.3,172.30.1.250,172.30.1.1,21
12.4,172.30.1.1,172.30.1.250,61
12.5,172.30.1.1,172.30.1.250,51
12.6,172.30.1.250,172.30.1.1,21
12.7,172.30.1.1,172.30.1.250,49
12.8,172.30.1.1,172.30.1.250,100
12.9,172.30.1.250,172.30.1.1,36
13.0,172.30.1.1,172.30.1.250,93
13.1,172.30.1.250,172.30.1.1,71
13.2,172.30.1.250,172.30.1.1,62
13.3,172.30.1.1,172.30.1.250,37
13.4,172.30.1.1,172.30.1.250,7
13.5,172.30.1.250,172.30.1.1,69
13.6,172.30.1.1,172.30.1.250,40
13.7,172.30.1.1,172.30.1.250,74
13.8,172.30.1.1,172.30.1.250,67
13.9,172.30.1.1,172.30.1.250,65
14.0,172.30.1.1,172.30.1.250,23
14.1,172.30.1.1,172.30.1.250,8
14.2,172.30.1.250,172.30.1.1,30
14.3,172.30.1.1,172.30.1.250,72
14.4,172.30.1.1,172.30.1.250,76
14.5,172.30.1.1,172.30.1.250,10
14.6,172.30.1.1,172.30.1.250,74
14.7,172.30.1.250,172.30.1.1,40
14.8,172.30.1.250,172.30.1.1,26
14.9,172.30.1.250,172.30.1.1,40
15.0,172.30.1.1,172.30.1.250,50
15.1,172.30.1.1,172.30.1.250,82
15.2,172.30.1.1,172.30.1.250,40
