App name,No.,Time,Source,Destination,Protocol,Length
YouTube,1,0.0,172.30.1.1,172.30.1.250,QUIC,2158
YouTube,2,0.002605,172.30.1.1,172.30.1.250,QUIC,12652
YouTube,3,0.00521,172.30.1.1,172.30.1.250,QUIC,6010
YouTube,4,0.007815,172.30.1.1,172.30.1.250,QUIC,13305
YouTube,5,0.010419,172.30.1.1,172.30.1.250,QUIC,6206
YouTube,6,0.013024,172.30.1.1,172.30.1.250,QUIC,10772
YouTube,7,0.015629,172.30.1.1,172.30.1.250,QUIC,6264
YouTube,8,0.018234,172.30.1.1,172.30.1.250,QUIC,13173
YouTube,9,0.020839,172.30.1.1,172.30.1.250,QUIC,7901
YouTube,10,0.023444,172.30.1.1,172.30.1.250,QUIC,8835
YouTube,11,0.026048,172.30.1.1,172.30.1.250,QUIC,2313
YouTube,12,0.028653,172.30.1.1,172.30.1.250,QUIC,12747
YouTube,13,0.031258,172.30.1.1,172.30.1.250,QUIC,2829
YouTube,14,0.033863,172.30.1.250,172.30.1.1,QUIC,8102
YouTube,15,0.036468,172.30.1.250,172.30.1.1,QUIC,12553
YouTube,16,0.039073,172.30.1.1,172.30.1.250,QUIC,6590
YouTube,17,0.041678,172.30.1.1,172.30.1.250,QUIC,9139
YouTube,18,0.044282,172.30.1.1,172.30.1.250,QUIC,9338
YouTube,19,0.046887,172.30.1.1,172.30.1.250,QUIC,9182
YouTube,20,0.049492,172.30.1.1,172.30.1.250,QUIC,3353
YouTube,21,0.052097,172.30.1.1,172.30.1.250,QUIC,2422
YouTube,22,0.054702,172.30.1.1,172.30.1.250,QUIC,11849
YouTube,23,0.057307,172.30.1.1,172.30.1.250,QUIC,12040
YouTube,24,0.059911,172.30.1.1,172.30.1.250,QUIC,3272
YouTube,25,0.062516,172.30.1.1,172.30.1.250,QUIC,6563
YouTube,26,0.065121,172.30.1.1,172.30.1.250,QUIC,2588
YouTube,27,0.067726,172.30.1.1,172.30.1.250,QUIC,12502
YouTube,28,0.070331,172.30.1.1,172.30.1.250,QUIC,7138
YouTube,29,0.072936,172.30.1.250,172.30.1.1,QUIC,9375
YouTube,30,0.075541,172.30.1.250,172.30.1.1,QUIC,3674
YouTube,31,0.078145,172.30.1.1,172.30.1.250,QUIC,10007
YouTube,32,0.08075,172.30.1.1,172.30.1.250,QUIC,10922
YouTube,33,0.083355,172.30.1.1,172.30.1.250,QUIC,6531
YouTube,34,0.08596,172.30.1.1,172.30.1.250,QUIC,8949
YouTube,35,0.088565,172.30.1.1,172.30.1.250,QUIC,5812
YouTube,36,0.09117,172.30.1.1,172.30.1.250,QUIC,12639
YouTube,37,0.093774,172.30.1.1,172.30.1.250,QUIC,6171
