App name,No.,Time,Source,Destination,Protocol,Length
TestApp,1,0.0,172.30.1.250,172.30.1.1,QUIC,120
TestApp,2,0.00631,172.30.1.250,172.30.1.1,TCP,286
TestApp,3,0.019201,172.30.1.250,172.30.1.1,QUIC,65
TestApp,4,0.021639,172.30.1.250,172.30.1.1,QUIC,136
TestApp,5,0.022392,172.30.1.250,172.30.1.1,TCP,141
TestApp,6,0.026618,172.30.1.250,172.30.1.1,QUIC,118
TestApp,7,0.039401,172.30.1.250,172.30.1.1,TCP,151
TestApp,8,0.077014,172.30.1.250,172.30.1.1,QUIC,77
TestApp,9,0.085322,172.30.1.250,172.30.1.1,QUIC,175
TestApp,10,0.088462,172.30.1.1,172.30.1.250,TCP,182
TestApp,11,0.099714,172.30.1.250,172.30.1.1,TCP,176
TestApp,12,0.099833,172.30.1.1,172.30.1.250,TCP,150
TestApp,13,0.104824,172.30.1.1,172.30.1.250,TCP,86
TestApp,14,0.105916,172.30.1.250,172.30.1.1,QUIC,134
TestApp,15,0.11902,172.30.1.250,172.30.1.1,QUIC,67
TestApp,16,0.13494,172.30.1.250,172.30.1.1,QUIC,123
TestApp,17,0.135266,172.30.1.250,172.30.1.1,QUIC,102
TestApp,18,0.145162,172.30.1.250,172.30.1.1,QUIC,117
TestApp,19,0.177745,172.30.1.250,172.30.1.1,QUIC,70
TestApp,20,0.199636,172.30.1.1,172.30.1.250,TCP,222
TestApp,21,0.205459,172.30.1.250,172.30.1.1,TCP,255
TestApp,22,0.230673,172.30.1.250,172.30.1.1,QUIC,60
TestApp,23,0.237058,172.30.1.250,172.30.1.1,TCP,174
TestApp,24,0.255699,172.30.1.250,172.30.1.1,QUIC,180
TestApp,25,0.258621,172.30.1.250,172.30.1.1,TCP,243
TestApp,26,0.260366,172.30.1.250,172.30.1.1,TCP,113
TestApp,27,0.270288,172.30.1.250,172.30.1.1,TCP,219
TestApp,28,0.283432,172.30.1.250,172.30.1.1,QUIC,83
TestApp,29,0.294966,172.30.1.250,172.30.1.1,QUIC,153
TestApp,30,0.316594,172.30.1.250,172.30.1.1,TCP,218
TestApp,31,0.320212,172.30.1.250,172.30.1.1,QUIC,92
TestApp,32,0.325821,172.30.1.250,172.30.1.1,TCP,72
TestApp,33,0.32595,172.30.1.250,172.30.1.1,QUIC,175
TestApp,34,0.327396,172.30.1.250,172.30.1.1,QUIC,99
TestApp,35,0.341093,172.30.1.250,172.30.1.1,TCP,291
TestApp,36,0.343206,172.30.1.250,172.30.1.1,TCP,284
TestApp,37,0.360313,172.30.1.250,172.30.1.1,QUIC,176
TestApp,38,0.364331,172.30.1.1,172.30.1.250,QUIC,171
TestApp,39,0.378921,172.30.1.1,172.30.1.250,QUIC,203
TestApp,40,0.379227,172.30.1.250,172.30.1.1,QUIC,241
TestApp,41,0.384275,172.30.1.1,172.30.1.250,TCP,290
TestApp,42,0.399626,172.30.1.250,172.30.1.1,TCP,180
TestApp,43,0.412605,172.30.1.250,172.30.1.1,TCP,112
TestApp,44,0.432133,172.30.1.250,172.30.1.1,QUIC,292
TestApp,45,0.435046,172.30.1.250,172.30.1.1,TCP,171
TestApp,46,0.440005,172.30.1.250,172.30.1.1,TCP,235
TestApp,47,0.447915,172.30.1.250,172.30.1.1,QUIC,144
TestApp,48,0.455951,172.30.1.250,172.30.1.1,TCP,227
TestApp,49,0.456949,172.30.1.250,172.30.1.1,QUIC,208
TestApp,50,0.486021,172.30.1.250,172.30.1.1,QUIC,210
TestApp,51,0.487409,172.30.1.250,172.30.1.1,QUIC,61
TestApp,52,0.491234,172.30.1.250,172.30.1.1,TCP,266
TestApp,53,0.496476,172.30.1.250,172.30.1.1,QUIC,244
TestApp,54,0.511297,172.30.1.250,172.30.1.1,TCP,101
TestApp,55,0.523619,172.30.1.250,172.30.1.1,QUIC,122
TestApp,56,0.535536,172.30.1.250,172.30.1.1,TCP,201
TestApp,57,0.562939,172.30.1.250,172.30.1.1,TCP,200
TestApp,58,0.565085,172.30.1.1,172.30.1.250,TCP,222
TestApp,59,0.568711,172.30.1.250,172.30.1.1,TCP,249
TestApp,60,0.569301,172.30.1.250,172.30.1.1,TCP,163
TestApp,61,0.571217,172.30.1.250,172.30.1.1,TCP,233
TestApp,62,0.573429,172.30.1.250,172.30.1.1,TCP,87
TestApp,63,0.574339,172.30.1.1,172.30.1.250,TCP,269
TestApp,64,0.578264,172.30.1.250,172.30.1.1,QUIC,178
TestApp,65,0.584157,172.30.1.250,172.30.1.1,TCP,116
TestApp,66,0.585018,172.30.1.250,172.30.1.1,QUIC,210
TestApp,67,0.585206,172.30.1.250,172.30.1.1,QUIC,292
TestApp,68,0.618405,172.30.1.250,172.30.1.1,TCP,211
TestApp,69,0.62477,172.30.1.1,172.30.1.250,TCP,287
TestApp,70,0.643711,172.30.1.250,172.30.1.1,QUIC,93
TestApp,71,0.645672,172.30.1.250,172.30.1.1,TCP,239
TestApp,72,0.649654,172.30.1.250,172.30.1.1,QUIC,153
TestApp,73,0.658724,172.30.1.250,172.30.1.1,TCP,248
TestApp,74,0.674496,172.30.1.250,172.30.1.1,QUIC,173
TestApp,75,0.681347,172.30.1.250,172.30.1.1,QUIC,108
TestApp,76,0.69673,172.30.1.250,172.30.1.1,TCP,138
TestApp,77,0.710943,172.30.1.250,172.30.1.1,TCP,96
TestApp,78,0.716779,172.30.1.1,172.30.1.250,QUIC,282
TestApp,79,0.728262,172.30.1.1,172.30.1.250,TCP,60
TestApp,80,0.736236,172.30.1.250,172.30.1.1,QUIC,206
TestApp,81,0.742486,172.30.1.250,172.30.1.1,QUIC,87
TestApp,82,0.76354,172.30.1.250,172.30.1.1,TCP,258
TestApp,83,0.765835,172.30.1.250,172.30.1.1,QUIC,212
TestApp,84,0.780834,172.30.1.250,172.30.1.1,TCP,191
TestApp,85,0.783013,172.30.1.250,172.30.1.1,QUIC,251
TestApp,86,0.783742,172.30.1.1,172.30.1.250,TCP,295
TestApp,87,0.790591,172.30.1.250,172.30.1.1,QUIC,249
TestApp,88,0.791834,172.30.1.250,172.30.1.1,TCP,206
TestApp,89,0.801104,172.30.1.250,172.30.1.1,QUIC,280
TestApp,90,0.819789,172.30.1.250,172.30.1.1,TCP,222
TestApp,91,0.843472,172.30.1.250,172.30.1.1,QUIC,299
TestApp,92,0.843971,172.30.1.1,172.30.1.250,TCP,233
TestApp,93,0.850622,172.30.1.250,172.30.1.1,TCP,97
TestApp,94,0.857824,172.30.1.250,172.30.1.1,TCP,86
TestApp,95,0.865723,172.30.1.250,172.30.1.1,QUIC,207
TestApp,96,0.872023,172.30.1.250,172.30.1.1,QUIC,292
TestApp,97,0.894709,172.30.1.250,172.30.1.1,TCP,180
TestApp,98,0.897417,172.30.1.250,172.30.1.1,TCP,216
TestApp,99,0.916365,172.30.1.1,172.30.1.250,TCP,140
TestApp,100,0.922574,172.30.1.250,172.30.1.1,QUIC,139
TestApp,101,0.925819,172.30.1.250,172.30.1.1,QUIC,208
TestApp,102,0.949424,172.30.1.250,172.30.1.1,TCP,94
TestApp,103,0.954295,172.30.1.1,172.30.1.250,TCP,119
TestApp,104,0.957829,172.30.1.250,172.30.1.1,TCP,205
TestApp,105,0.958985,172.30.1.250,172.30.1.1,QUIC,264
TestApp,106,0.972213,172.30.1.1,172.30.1.250,QUIC,226
TestApp,107,0.997421,172.30.1.250,172.30.1.1,QUIC,192
TestApp,108,1.001417,172.30.1.250,172.30.1.1,TCP,215
TestApp,109,1.013592,172.30.1.1,172.30.1.250,QUIC,278
TestApp,110,1.017364,172.30.1.250,172.30.1.1,QUIC,187
TestApp,111,1.021367,172.30.1.1,172.30.1.250,QUIC,194
TestApp,112,1.025069,172.30.1.250,172.30.1.1,QUIC,233
TestApp,113,1.025467,172.30.1.1,172.30.1.250,QUIC,173
