Time,App name,No.,Source,Destination,Protocol,Length
0.0,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
0.227566,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.405919,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.453,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.458487,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.516483,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.516909,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.518747,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.519169,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.726844,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.72712,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.738501,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.738588,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.739149,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.739191,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.73944,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.739479,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.739644,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.73967,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.785092,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.795124,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.795275,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.795512,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.795556,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.814097,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.814238,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.81849,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.818585,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.829668,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.829767,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.829979,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.830026,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.845973,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.856145,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.903266,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.903409,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.906593,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.906968,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.918115,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.918881,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.91892,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.943559,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.943641,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.943827,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.943885,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.95711,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.957317,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.960648,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.960779,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.9771,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.977207,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.980102,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
4.980169,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.063103,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.066246,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.066427,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.066812,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.066864,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.06695,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.068664,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.070173,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.07033,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.092534,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.151836,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
5.235218,Meet,18639.0,172.30.1.1,172.30.1.250,DNS,0
