App name,No.,Time,Source,Destination,Protocol,Length
YouTube,891,151.916672,172.30.1.1,172.30.1.250,DNS,120
YouTube,892,152.045427,172.30.1.250,172.30.1.1,DNS,164
YouTube,893,152.050991,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,894,152.051849,172.30.1.1,172.30.1.250,TCP,108
YouTube,895,152.075929,172.30.1.1,172.30.1.250,DNS,116
YouTube,896,152.09773,172.30.1.250,172.30.1.1,TCP,96
YouTube,897,152.097848,172.30.1.1,172.30.1.250,TCP,88
YouTube,898,152.09871,172.30.1.1,172.30.1.250,TLSv1.3,820
YouTube,899,152.098862,172.30.1.250,172.30.1.1,TCP,88
YouTube,900,152.112533,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,901,152.112619,172.30.1.250,172.30.1.1,DNS,372
YouTube,902,152.115038,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,903,152.117295,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,904,152.118176,172.30.1.1,172.30.1.250,TCP,108
YouTube,905,152.118852,172.30.1.1,172.30.1.250,TCP,108
YouTube,906,152.12049,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,907,152.120554,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,908,152.120748,172.30.1.1,172.30.1.250,QUIC,116
YouTube,909,152.124216,172.30.1.1,172.30.1.250,QUIC,152
YouTube,910,152.153185,172.30.1.250,172.30.1.1,TLSv1.3,424
YouTube,911,152.15334,172.30.1.1,172.30.1.250,TCP,88
YouTube,912,152.159749,172.30.1.1,172.30.1.250,TLSv1.3,160
YouTube,913,152.159848,172.30.1.250,172.30.1.1,TCP,88
YouTube,914,152.161915,172.30.1.1,172.30.1.250,TLSv1.3,184
YouTube,915,152.162001,172.30.1.250,172.30.1.1,TCP,88
YouTube,916,152.165018,172.30.1.1,172.30.1.250,TLSv1.3,776
YouTube,917,152.165113,172.30.1.250,172.30.1.1,TCP,88
YouTube,918,152.166006,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,919,152.166053,172.30.1.250,172.30.1.1,TCP,96
YouTube,920,152.166139,172.30.1.1,172.30.1.250,TCP,88
YouTube,921,152.16615,172.30.1.250,172.30.1.1,QUIC,868
YouTube,922,152.168028,172.30.1.1,172.30.1.250,QUIC,240
YouTube,923,152.168989,172.30.1.1,172.30.1.250,TLSv1.3,816
YouTube,924,152.169125,172.30.1.250,172.30.1.1,TCP,96
YouTube,925,152.16923,172.30.1.250,172.30.1.1,TCP,88
YouTube,926,152.16926,172.30.1.1,172.30.1.250,TCP,88
YouTube,927,152.169419,172.30.1.1,172.30.1.250,TLSv1.3,816
YouTube,928,152.169504,172.30.1.250,172.30.1.1,TCP,88
YouTube,929,152.176401,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,930,152.176492,172.30.1.250,172.30.1.1,QUIC,856
YouTube,931,152.176513,172.30.1.250,172.30.1.1,QUIC,172
YouTube,932,152.177816,172.30.1.1,172.30.1.250,QUIC,156
YouTube,933,152.177872,172.30.1.1,172.30.1.250,QUIC,108
YouTube,934,152.17801,172.30.1.1,172.30.1.250,QUIC,820
YouTube,935,152.178193,172.30.1.1,172.30.1.250,QUIC,200
YouTube,936,152.178216,172.30.1.1,172.30.1.250,QUIC,1320
YouTube,937,152.178234,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,938,152.17825,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,939,152.178265,172.30.1.1,172.30.1.250,QUIC,1088
YouTube,940,152.178302,172.30.1.1,172.30.1.250,QUIC,1320
YouTube,941,152.178322,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,942,152.178338,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,943,152.180767,172.30.1.1,172.30.1.250,QUIC,1004
YouTube,944,152.199426,172.30.1.250,172.30.1.1,TLSv1.3,960
YouTube,945,152.199516,172.30.1.250,172.30.1.1,QUIC,100
YouTube,946,152.199548,172.30.1.1,172.30.1.250,TCP,88
YouTube,947,152.199562,172.30.1.250,172.30.1.1,TLSv1.3,120
YouTube,948,152.199588,172.30.1.1,172.30.1.250,TCP,88
YouTube,949,152.200374,172.30.1.1,172.30.1.250,TLSv1.3,120
YouTube,950,152.20046,172.30.1.250,172.30.1.1,TCP,88
YouTube,951,152.206575,172.30.1.250,172.30.1.1,QUIC,936
YouTube,952,152.206703,172.30.1.250,172.30.1.1,QUIC,196
YouTube,953,152.207088,172.30.1.1,172.30.1.250,QUIC,108
YouTube,954,152.208796,172.30.1.1,172.30.1.250,QUIC,196
YouTube,955,152.208845,172.30.1.1,172.30.1.250,QUIC,1320
YouTube,956,152.208868,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,957,152.211055,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,958,152.211166,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,959,152.211207,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,960,152.211247,172.30.1.1,172.30.1.250,QUIC,672
YouTube,961,152.211703,172.30.1.250,172.30.1.1,QUIC,196
YouTube,962,152.217882,172.30.1.250,172.30.1.1,QUIC,104
YouTube,963,152.218078,172.30.1.250,172.30.1.1,QUIC,100
YouTube,964,152.21812,172.30.1.250,172.30.1.1,QUIC,104
YouTube,965,152.218158,172.30.1.1,172.30.1.250,QUIC,108
YouTube,966,152.220859,172.30.1.250,172.30.1.1,QUIC,100
YouTube,967,152.220927,172.30.1.250,172.30.1.1,TLSv1.3,420
YouTube,968,152.221133,172.30.1.250,172.30.1.1,TLSv1.3,420
YouTube,969,152.221247,172.30.1.1,172.30.1.250,TCP,88
YouTube,970,152.22126,172.30.1.1,172.30.1.250,TCP,88
YouTube,971,152.222977,172.30.1.1,172.30.1.250,TLSv1.3,160
YouTube,972,152.223009,172.30.1.1,172.30.1.250,TLSv1.3,160
YouTube,973,152.223129,172.30.1.250,172.30.1.1,TCP,88
YouTube,974,152.223248,172.30.1.250,172.30.1.1,TCP,88
YouTube,975,152.223823,172.30.1.250,172.30.1.1,QUIC,100
YouTube,976,152.22741,172.30.1.250,172.30.1.1,QUIC,100
YouTube,977,152.23734,172.30.1.250,172.30.1.1,QUIC,100
YouTube,978,152.237543,172.30.1.250,172.30.1.1,TLSv1.3,724
YouTube,979,152.237647,172.30.1.250,172.30.1.1,QUIC,572
YouTube,980,152.237857,172.30.1.1,172.30.1.250,TCP,88
YouTube,981,152.237887,172.30.1.250,172.30.1.1,TLSv1.3,340
YouTube,982,152.237937,172.30.1.250,172.30.1.1,QUIC,232
YouTube,983,152.237972,172.30.1.1,172.30.1.250,TCP,88
YouTube,984,152.240959,172.30.1.1,172.30.1.250,QUIC,112
YouTube,985,152.241067,172.30.1.1,172.30.1.250,TLSv1.3,128
YouTube,986,152.241146,172.30.1.250,172.30.1.1,TCP,88
YouTube,987,152.244017,172.30.1.250,172.30.1.1,QUIC,248
YouTube,988,152.244191,172.30.1.1,172.30.1.250,QUIC,112
YouTube,989,152.247286,172.30.1.250,172.30.1.1,QUIC,156
YouTube,990,152.269786,172.30.1.250,172.30.1.1,QUIC,104
YouTube,991,152.269851,172.30.1.250,172.30.1.1,QUIC,100
YouTube,992,152.269894,172.30.1.250,172.30.1.1,TLSv1.3,956
YouTube,993,152.269935,172.30.1.1,172.30.1.250,TCP,88
YouTube,994,152.269942,172.30.1.250,172.30.1.1,QUIC,100
YouTube,995,152.269956,172.30.1.250,172.30.1.1,TLSv1.3,956
YouTube,996,152.269979,172.30.1.1,172.30.1.250,TCP,88
YouTube,997,152.269987,172.30.1.250,172.30.1.1,QUIC,100
YouTube,998,152.270166,172.30.1.1,172.30.1.250,QUIC,108
YouTube,999,152.277246,172.30.1.250,172.30.1.1,QUIC,248
YouTube,1000,152.277348,172.30.1.250,172.30.1.1,QUIC,284
YouTube,1001,152.27786,172.30.1.1,172.30.1.250,QUIC,112
YouTube,1002,152.295888,172.30.1.250,172.30.1.1,QUIC,100
YouTube,1003,152.303878,172.30.1.1,172.30.1.250,QUIC,108
YouTube,1004,152.349406,172.30.1.250,172.30.1.1,QUIC,100
YouTube,1005,152.444926,172.30.1.1,172.30.1.250,QUIC,636
YouTube,1006,152.445345,172.30.1.1,172.30.1.250,QUIC,1320
YouTube,1007,152.445506,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,1008,152.445684,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,1009,152.44583,172.30.1.1,172.30.1.250,QUIC,1004
YouTube,1010,152.523318,172.30.1.250,172.30.1.1,QUIC,104
YouTube,1011,152.523685,172.30.1.250,172.30.1.1,QUIC,100
YouTube,1012,152.523784,172.30.1.250,172.30.1.1,QUIC,100
YouTube,1015,152.549304,172.30.1.1,172.30.1.250,QUIC,108
YouTube,1016,152.549988,172.30.1.250,172.30.1.1,QUIC,1320
YouTube,1017,152.551588,172.30.1.1,172.30.1.250,QUIC,112
YouTube,1018,152.559176,172.30.1.250,172.30.1.1,QUIC,1320
YouTube,1019,152.559377,172.30.1.250,172.30.1.1,QUIC,740
YouTube,1020,152.559489,172.30.1.250,172.30.1.1,QUIC,296
YouTube,1021,152.562421,172.30.1.1,172.30.1.250,QUIC,108
YouTube,1022,152.618335,172.30.1.250,172.30.1.1,QUIC,100
YouTube,1027,152.724002,172.30.1.1,172.30.1.250,QUIC,596
YouTube,1028,152.724703,172.30.1.1,172.30.1.250,QUIC,1320
YouTube,1029,152.724973,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,1030,152.725272,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,1031,152.725528,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,1032,152.725819,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,1033,152.726068,172.30.1.1,172.30.1.250,QUIC,672
YouTube,1035,152.835731,172.30.1.1,172.30.1.250,QUIC,596
YouTube,1036,152.844318,172.30.1.250,172.30.1.1,QUIC,104
YouTube,1038,152.84495,172.30.1.250,172.30.1.1,QUIC,100
YouTube,1039,152.845026,172.30.1.250,172.30.1.1,QUIC,100
YouTube,1040,152.84509,172.30.1.250,172.30.1.1,QUIC,1320
YouTube,1041,152.845163,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1042,152.845232,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1043,152.845302,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1044,152.845371,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1045,152.84807,172.30.1.1,172.30.1.250,QUIC,112
YouTube,1046,152.848159,172.30.1.1,172.30.1.250,QUIC,108
YouTube,1047,152.848209,172.30.1.1,172.30.1.250,QUIC,108
YouTube,1048,152.848263,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1050,152.852958,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1051,152.853089,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1052,152.853155,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1053,152.853242,172.30.1.250,172.30.1.1,QUIC,312
YouTube,1054,152.853298,172.30.1.250,172.30.1.1,QUIC,284
YouTube,1055,152.856126,172.30.1.1,172.30.1.250,QUIC,108
YouTube,1056,152.856289,172.30.1.1,172.30.1.250,QUIC,108
YouTube,1057,152.856404,172.30.1.1,172.30.1.250,QUIC,108
YouTube,1058,152.89411,172.30.1.250,172.30.1.1,QUIC,100
YouTube,1085,153.405663,172.30.1.1,172.30.1.250,DNS,120
YouTube,1086,153.409914,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,1087,153.413524,172.30.1.1,172.30.1.250,TCP,108
YouTube,1088,153.415889,172.30.1.1,172.30.1.250,TCP,108
YouTube,1089,153.41776,172.30.1.1,172.30.1.250,TCP,108
YouTube,1091,153.421216,172.30.1.1,172.30.1.250,QUIC,148
YouTube,1094,153.445961,172.30.1.250,172.30.1.1,DNS,136
YouTube,1095,153.44822,172.30.1.250,172.30.1.1,TCP,96
YouTube,1096,153.448579,172.30.1.250,172.30.1.1,TCP,96
YouTube,1097,153.448766,172.30.1.1,172.30.1.250,TCP,88
YouTube,1098,153.448806,172.30.1.1,172.30.1.250,TCP,88
YouTube,1099,153.450346,172.30.1.1,172.30.1.250,TLSv1.3,824
YouTube,1100,153.450883,172.30.1.250,172.30.1.1,TCP,88
YouTube,1101,153.450969,172.30.1.250,172.30.1.1,TCP,96
YouTube,1102,153.451151,172.30.1.1,172.30.1.250,TCP,88
YouTube,1103,153.452552,172.30.1.1,172.30.1.250,TLSv1.3,824
YouTube,1104,153.452885,172.30.1.250,172.30.1.1,TCP,88
YouTube,1105,153.454127,172.30.1.1,172.30.1.250,TLSv1.3,604
YouTube,1106,153.454443,172.30.1.250,172.30.1.1,TCP,88
YouTube,1107,153.461169,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1108,153.462402,172.30.1.250,172.30.1.1,QUIC,852
YouTube,1109,153.462483,172.30.1.250,172.30.1.1,QUIC,184
YouTube,1110,153.463475,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,1111,153.463755,172.30.1.1,172.30.1.250,QUIC,148
YouTube,1112,153.464255,172.30.1.1,172.30.1.250,QUIC,108
YouTube,1113,153.465068,172.30.1.1,172.30.1.250,QUIC,336
YouTube,1114,153.46587,172.30.1.1,172.30.1.250,QUIC,204
YouTube,1115,153.4664,172.30.1.1,172.30.1.250,QUIC,204
YouTube,1116,153.479623,172.30.1.250,172.30.1.1,QUIC,100
YouTube,1117,153.500737,172.30.1.250,172.30.1.1,TLSv1.3,424
YouTube,1118,153.501314,172.30.1.1,172.30.1.250,TCP,88
YouTube,1119,153.5038,172.30.1.1,172.30.1.250,TLSv1.3,160
YouTube,1120,153.503934,172.30.1.250,172.30.1.1,TCP,88
YouTube,1122,153.512663,172.30.1.250,172.30.1.1,TLSv1.3,424
YouTube,1123,153.513041,172.30.1.1,172.30.1.250,TCP,88
YouTube,1124,153.515084,172.30.1.1,172.30.1.250,TLSv1.3,160
YouTube,1125,153.515253,172.30.1.250,172.30.1.1,TCP,88
YouTube,1126,153.515902,172.30.1.250,172.30.1.1,TLSv1.3,5432
YouTube,1127,153.516594,172.30.1.1,172.30.1.250,TCP,88
YouTube,1128,153.519294,172.30.1.250,172.30.1.1,QUIC,196
YouTube,1129,153.519508,172.30.1.250,172.30.1.1,TLSv1.3,1560
YouTube,1130,153.519704,172.30.1.1,172.30.1.250,TCP,88
YouTube,1131,153.519774,172.30.1.250,172.30.1.1,QUIC,104
YouTube,1132,153.519897,172.30.1.250,172.30.1.1,QUIC,104
YouTube,1133,153.520238,172.30.1.250,172.30.1.1,QUIC,100
YouTube,1134,153.520352,172.30.1.250,172.30.1.1,QUIC,100
YouTube,1135,153.520604,172.30.1.1,172.30.1.250,QUIC,108
YouTube,1136,153.521405,172.30.1.1,172.30.1.250,QUIC,108
YouTube,1137,153.524623,172.30.1.1,172.30.1.250,TLSv1.3,160
YouTube,1138,153.52478,172.30.1.250,172.30.1.1,TCP,88
YouTube,1139,153.525996,172.30.1.250,172.30.1.1,QUIC,1072
YouTube,1140,153.526186,172.30.1.250,172.30.1.1,QUIC,796
YouTube,1141,153.526311,172.30.1.250,172.30.1.1,QUIC,100
YouTube,1142,153.526422,172.30.1.250,172.30.1.1,QUIC,796
YouTube,1143,153.52698,172.30.1.1,172.30.1.250,QUIC,112
YouTube,1144,153.52775,172.30.1.1,172.30.1.250,QUIC,112
YouTube,1145,153.52857,172.30.1.1,172.30.1.250,QUIC,112
YouTube,1146,153.528697,172.30.1.250,172.30.1.1,QUIC,104
YouTube,1147,153.532569,172.30.1.1,172.30.1.250,QUIC,116
YouTube,1148,153.535222,172.30.1.1,172.30.1.250,DNS,132
YouTube,1149,153.536745,172.30.1.1,172.30.1.250,QUIC,112
YouTube,1150,153.536809,172.30.1.1,172.30.1.250,QUIC,112
YouTube,1151,153.538072,172.30.1.1,172.30.1.250,DNS,132
YouTube,1152,153.54215,172.30.1.250,172.30.1.1,TLSv1.3,960
YouTube,1153,153.542461,172.30.1.1,172.30.1.250,TCP,88
YouTube,1156,153.565879,172.30.1.250,172.30.1.1,TLSv1.3,960
YouTube,1157,153.566884,172.30.1.1,172.30.1.250,TCP,88
YouTube,1158,153.577769,172.30.1.250,172.30.1.1,TLSv1.3,960
YouTube,1159,153.578036,172.30.1.1,172.30.1.250,TCP,88
YouTube,1160,153.586102,172.30.1.250,172.30.1.1,QUIC,100
YouTube,1161,153.58858,172.30.1.250,172.30.1.1,QUIC,100
YouTube,1162,153.592258,172.30.1.250,172.30.1.1,DNS,188
YouTube,1163,153.597332,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,1164,153.598536,172.30.1.250,172.30.1.1,DNS,188
YouTube,1166,153.604932,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,1168,153.659193,172.30.1.250,172.30.1.1,QUIC,140
YouTube,1169,153.661306,172.30.1.250,172.30.1.1,QUIC,140
YouTube,1170,153.675641,172.30.1.1,172.30.1.250,TCP,108
YouTube,1171,153.678568,172.30.1.1,172.30.1.250,TCP,108
YouTube,1172,153.680733,172.30.1.1,172.30.1.250,TCP,108
YouTube,1173,153.681966,172.30.1.250,172.30.1.1,QUIC,140
YouTube,1174,153.705451,172.30.1.250,172.30.1.1,TCP,96
YouTube,1175,153.705764,172.30.1.1,172.30.1.250,TCP,88
YouTube,1176,153.707657,172.30.1.1,172.30.1.250,TLSv1.3,604
YouTube,1177,153.708267,172.30.1.250,172.30.1.1,TCP,88
YouTube,1178,153.711809,172.30.1.250,172.30.1.1,TCP,96
YouTube,1179,153.711899,172.30.1.250,172.30.1.1,TCP,96
YouTube,1180,153.711953,172.30.1.1,172.30.1.250,TCP,88
YouTube,1181,153.711961,172.30.1.1,172.30.1.250,TCP,88
YouTube,1182,153.713523,172.30.1.1,172.30.1.250,TLSv1.3,604
YouTube,1183,153.713864,172.30.1.250,172.30.1.1,TCP,88
YouTube,1184,153.714154,172.30.1.1,172.30.1.250,TLSv1.3,604
YouTube,1185,153.714333,172.30.1.250,172.30.1.1,TCP,88
YouTube,1186,153.744293,172.30.1.250,172.30.1.1,TLSv1.3,2760
YouTube,1187,153.74471,172.30.1.1,172.30.1.250,TCP,88
YouTube,1188,153.746856,172.30.1.250,172.30.1.1,TLSv1.3,2384
YouTube,1189,153.747024,172.30.1.1,172.30.1.250,TCP,88
YouTube,1190,153.752812,172.30.1.250,172.30.1.1,TLSv1.3,1424
YouTube,1191,153.753113,172.30.1.1,172.30.1.250,TCP,88
YouTube,1192,153.756331,172.30.1.250,172.30.1.1,TLSv1.3,3720
YouTube,1193,153.756504,172.30.1.1,172.30.1.250,TCP,88
YouTube,1194,153.759434,172.30.1.1,172.30.1.250,TLSv1.3,152
YouTube,1195,153.75972,172.30.1.250,172.30.1.1,TCP,88
YouTube,1196,153.760712,172.30.1.1,172.30.1.250,TLSv1.3,152
YouTube,1197,153.760801,172.30.1.250,172.30.1.1,TCP,88
YouTube,1198,153.761676,172.30.1.1,172.30.1.250,TLSv1.3,560
YouTube,1199,153.761785,172.30.1.250,172.30.1.1,TCP,88
YouTube,1200,153.762202,172.30.1.1,172.30.1.250,TLSv1.3,560
YouTube,1201,153.762292,172.30.1.250,172.30.1.1,TCP,88
YouTube,1202,153.762357,172.30.1.250,172.30.1.1,TLSv1.3,5056
YouTube,1203,153.762626,172.30.1.1,172.30.1.250,TCP,88
YouTube,1204,153.774176,172.30.1.1,172.30.1.250,TLSv1.3,152
YouTube,1205,153.774325,172.30.1.250,172.30.1.1,TCP,88
YouTube,1206,153.775023,172.30.1.1,172.30.1.250,TLSv1.3,560
YouTube,1207,153.77515,172.30.1.250,172.30.1.1,TCP,88
YouTube,1208,153.862084,172.30.1.250,172.30.1.1,TLSv1.3,732
YouTube,1209,153.86248,172.30.1.250,172.30.1.1,TLSv1.3,732
YouTube,1210,153.867183,172.30.1.1,172.30.1.250,TCP,88
YouTube,1211,153.867213,172.30.1.1,172.30.1.250,TCP,88
YouTube,1212,153.867287,172.30.1.250,172.30.1.1,TLSv1.3,732
YouTube,1213,153.867526,172.30.1.1,172.30.1.250,TCP,88
YouTube,1218,154.331799,172.30.1.1,172.30.1.250,QUIC,596
YouTube,1219,154.331881,172.30.1.1,172.30.1.250,QUIC,1320
YouTube,1220,154.331907,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,1221,154.331926,172.30.1.1,172.30.1.250,QUIC,1324
YouTube,1222,154.331947,172.30.1.1,172.30.1.250,QUIC,1088
YouTube,1223,154.377824,172.30.1.250,172.30.1.1,QUIC,104
YouTube,1224,154.381558,172.30.1.250,172.30.1.1,QUIC,100
YouTube,1225,154.387685,172.30.1.250,172.30.1.1,QUIC,100
YouTube,1226,154.403644,172.30.1.1,172.30.1.250,QUIC,108
YouTube,1227,156.291546,172.30.1.250,172.30.1.1,QUIC,1320
YouTube,1228,156.291877,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1229,156.291933,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1230,156.291977,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1231,156.295454,172.30.1.1,172.30.1.250,QUIC,112
YouTube,1232,156.295562,172.30.1.1,172.30.1.250,QUIC,108
YouTube,1233,156.295613,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1234,156.295669,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1235,156.295712,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1236,156.295753,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1237,156.295793,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1238,156.295833,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1239,156.295874,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1240,156.295916,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1241,156.295957,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1242,156.295997,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1243,156.296038,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1244,156.296082,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1245,156.296123,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1246,156.296164,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1247,156.296204,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1248,156.296244,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1249,156.296285,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1250,156.296324,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1251,156.296366,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1252,156.296406,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1253,156.296446,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1254,156.296486,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1255,156.296547,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1256,156.296594,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1257,156.296638,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1258,156.296685,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1259,156.296726,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1260,156.296767,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1261,156.296814,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1262,156.296857,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1263,156.296897,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1264,156.296937,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1265,156.296979,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1266,156.297018,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1267,156.297058,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1268,156.297097,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1269,156.297135,172.30.1.1,172.30.1.250,QUIC,108
YouTube,1270,156.297189,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1271,156.297234,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1272,156.297273,172.30.1.1,172.30.1.250,QUIC,108
YouTube,1273,156.297321,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1274,156.297365,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1275,156.297402,172.30.1.1,172.30.1.250,QUIC,108
YouTube,1276,156.297448,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1277,156.297494,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1278,156.297536,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1279,156.297628,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1280,156.29767,172.30.1.1,172.30.1.250,QUIC,108
YouTube,1281,156.297718,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1282,156.297764,172.30.1.250,172.30.1.1,QUIC,1324
YouTube,1283,156.297802,172.30.1.1,172.30.1.250,QUIC,108
YouTube,1284,156.297847,172.30.1.250,172.30.1.1,QUIC,496
YouTube,1285,156.297888,172.30.1.250,172.30.1.1,QUIC,1320
YouTube,1286,156.297925,172.30.1.1,172.30.1.250,QUIC,108
