Time,App name,No.,Source,Destination,Protocol,Length
0.0,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
0.227566,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.405919,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.453,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.458487,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.516483,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.516909,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.518747,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.519169,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.726844,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.72712,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.738501,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.738588,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.739149,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.739191,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.73944,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.739479,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.739644,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.73967,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.785092,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.795124,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.795275,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.795512,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.795556,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.814097,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.814238,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.81849,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.818585,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.829668,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.829767,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.829979,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.830026,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.845973,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.856145,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.903266,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.903409,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.906593,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.906968,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.918115,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.918881,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.91892,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.943559,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.943641,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.943827,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.943885,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.95711,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.957317,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.960648,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.960779,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.9771,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.977207,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.980102,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
4.980169,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.063103,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.066246,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.066427,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.066812,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.066864,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.06695,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.068664,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.070173,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.07033,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.092534,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.151836,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.235218,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.257669,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.25781,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.258291,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.258426,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.258534,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.267264,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.267294,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
5.319818,YouTube,891.0,172.30.1.1,172.30.1.250,DNS,0
