App name,No.,Time,Source,Destination,Protocol,Length
WhatsApp,1,0.0,172.30.1.1,172.30.1.250,TCP,108
WhatsApp,2,0.227566,172.30.1.250,172.30.1.1,TCP,88
Google Play service,3,4.405919,172.30.1.1,172.30.1.250,DNS,112
Google Play service,4,4.453,172.30.1.250,172.30.1.1,DNS,368
Google Play service,5,4.458487,172.30.1.1,172.30.1.250,TCP,108
Google Play service,6,4.516483,172.30.1.250,172.30.1.1,TCP,96
Google Play service,7,4.516909,172.30.1.1,172.30.1.250,TCP,88
Google Play service,8,4.518747,172.30.1.1,172.30.1.250,TLSv1.3,808
Google Play service,9,4.519169,172.30.1.250,172.30.1.1,TCP,88
Google Play service,10,4.726844,172.30.1.250,172.30.1.1,TLSv1.3,416
Google Play service,11,4.72712,172.30.1.1,172.30.1.250,TCP,88
Google Play service,12,4.738501,172.30.1.1,172.30.1.250,TLSv1.3,160
Google Play service,13,4.738588,172.30.1.250,172.30.1.1,TCP,88
Google Play service,14,4.739149,172.30.1.1,172.30.1.250,TLSv1.3,184
Google Play service,15,4.739191,172.30.1.250,172.30.1.1,TCP,88
Google Play service,16,4.73944,172.30.1.1,172.30.1.250,TLSv1.3,488
Google Play service,17,4.739479,172.30.1.250,172.30.1.1,TCP,88
Google Play service,18,4.739644,172.30.1.1,172.30.1.250,TLSv1.3,1460
Google Play service,19,4.73967,172.30.1.250,172.30.1.1,TCP,88
Google Fi,20,4.785092,172.30.1.1,172.30.1.250,DNS,124
Google Play service,21,4.795124,172.30.1.250,172.30.1.1,TLSv1.3,980
Google Play service,22,4.795275,172.30.1.1,172.30.1.250,TCP,88
Google Play service,23,4.795512,172.30.1.1,172.30.1.250,TLSv1.3,120
Google Play service,24,4.795556,172.30.1.250,172.30.1.1,TCP,88
Google Play service,25,4.814097,172.30.1.250,172.30.1.1,TLSv1.3,612
Google Play service,26,4.814238,172.30.1.1,172.30.1.250,TCP,88
Google Play service,27,4.81849,172.30.1.1,172.30.1.250,TLSv1.3,128
Google Play service,28,4.818585,172.30.1.250,172.30.1.1,TCP,88
Google Play service,29,4.829668,172.30.1.1,172.30.1.250,TLSv1.3,160
Google Play service,30,4.829767,172.30.1.250,172.30.1.1,TCP,88
Google Play service,31,4.829979,172.30.1.1,172.30.1.250,TLSv1.3,736
Google Play service,32,4.830026,172.30.1.250,172.30.1.1,TCP,88
Google Fi,33,4.845973,172.30.1.250,172.30.1.1,DNS,380
Google Fi,34,4.856145,172.30.1.1,172.30.1.250,TCP,108
Google Fi,35,4.903266,172.30.1.250,172.30.1.1,TCP,96
Google Fi,36,4.903409,172.30.1.1,172.30.1.250,TCP,88
Google Fi,37,4.906593,172.30.1.1,172.30.1.250,TLSv1.3,604
Google Fi,38,4.906968,172.30.1.250,172.30.1.1,TCP,88
Google Play service,39,4.918115,172.30.1.250,172.30.1.1,TLSv1.3,516
Google Play service,40,4.918881,172.30.1.1,172.30.1.250,TLSv1.3,128
Google Play service,41,4.91892,172.30.1.250,172.30.1.1,TCP,88
Google Play service,42,4.943559,172.30.1.1,172.30.1.250,TLSv1.3,148
Google Play service,43,4.943641,172.30.1.250,172.30.1.1,TCP,88
Google Play service,44,4.943827,172.30.1.1,172.30.1.250,TLSv1.3,2444
Google Play service,45,4.943885,172.30.1.250,172.30.1.1,TCP,88
Google Fi,46,4.95711,172.30.1.250,172.30.1.1,TLSv1.3,2760
Google Fi,47,4.957317,172.30.1.1,172.30.1.250,TCP,88
Google Fi,48,4.960648,172.30.1.250,172.30.1.1,TLSv1.3,2088
Google Fi,49,4.960779,172.30.1.1,172.30.1.250,TCP,88
Google Fi,50,4.9771,172.30.1.1,172.30.1.250,TLSv1.3,152
Google Fi,51,4.977207,172.30.1.250,172.30.1.1,TCP,88
Google Fi,52,4.980102,172.30.1.1,172.30.1.250,TLSv1.3,400
Google Fi,53,4.980169,172.30.1.250,172.30.1.1,TCP,88
Google Play service,54,5.063103,172.30.1.250,172.30.1.1,TLSv1.3,552
Google Play service,55,5.066246,172.30.1.250,172.30.1.1,TLSv1.3,128
Google Fi,56,5.066427,172.30.1.250,172.30.1.1,TLSv1.3,3300
Google Fi,57,5.066812,172.30.1.1,172.30.1.250,TCP,88
Google Fi,58,5.066864,172.30.1.250,172.30.1.1,TLSv1.3,172
Google Fi,59,5.06695,172.30.1.1,172.30.1.250,TCP,88
Google Play service,60,5.068664,172.30.1.1,172.30.1.250,TCP,88
Google Play service,61,5.070173,172.30.1.1,172.30.1.250,TLSv1.3,128
Google Play service,62,5.07033,172.30.1.250,172.30.1.1,TCP,88
Google Fi,63,5.092534,172.30.1.1,172.30.1.250,DNS,108
Google Fi,64,5.151836,172.30.1.250,172.30.1.1,DNS,140
WhatsApp,65,5.235218,172.30.1.1,172.30.1.250,DNS,108
Google Play service,66,5.257669,172.30.1.1,172.30.1.250,TLSv1.3,148
Google Play service,67,5.25781,172.30.1.250,172.30.1.1,TCP,88
Google Play service,68,5.258291,172.30.1.1,172.30.1.250,TCP,10048
Google Play service,69,5.258426,172.30.1.1,172.30.1.250,TLSv1.3,6532
Google Play service,70,5.258534,172.30.1.250,172.30.1.1,TCP,88
Google Play service,71,5.267264,172.30.1.1,172.30.1.250,TLSv1.3,500
Google Play service,72,5.267294,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,73,5.319818,172.30.1.250,172.30.1.1,DNS,148
WhatsApp,74,5.32689,172.30.1.1,172.30.1.250,TCP,108
WhatsApp,75,5.381826,172.30.1.250,172.30.1.1,TCP,96
WhatsApp,76,5.382211,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,77,5.391052,172.30.1.1,172.30.1.250,TCP,244
WhatsApp,78,5.391308,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,79,5.391544,172.30.1.1,172.30.1.250,TCP,92
WhatsApp,80,5.391571,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,81,5.391806,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,82,5.391831,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,83,5.392036,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,84,5.39206,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,85,5.392195,172.30.1.1,172.30.1.250,TCP,372
WhatsApp,86,5.392356,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,87,5.392483,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,88,5.392507,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,89,5.392624,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,90,5.392647,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,91,5.461338,172.30.1.250,172.30.1.1,TCP,216
WhatsApp,92,5.461827,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,93,5.468234,172.30.1.250,172.30.1.1,TCP,212
WhatsApp,94,5.468387,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,95,5.4782,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,96,5.478359,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,97,5.478613,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,98,5.478643,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,99,5.478776,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,100,5.478799,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,101,5.478919,172.30.1.1,172.30.1.250,TCP,292
WhatsApp,102,5.478982,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,103,5.4791,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,104,5.479123,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,105,5.479248,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,106,5.479269,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,107,5.479628,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,108,5.479649,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,109,5.479775,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,110,5.479798,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,111,5.479917,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,112,5.479938,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,113,5.480057,172.30.1.1,172.30.1.250,TCP,128
WhatsApp,114,5.480114,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,115,5.480233,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,116,5.480255,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,117,5.480394,172.30.1.1,172.30.1.250,TCP,88
WhatsApp,118,5.480417,172.30.1.250,172.30.1.1,TCP,88
Google Play service,119,5.518375,172.30.1.250,172.30.1.1,TLSv1.3,756
Google Play service,120,5.520357,172.30.1.1,172.30.1.250,TLSv1.3,128
Google Play service,121,5.520448,172.30.1.250,172.30.1.1,TCP,88
Google Play service,122,5.564803,172.30.1.1,172.30.1.250,TLSv1.3,828
Google Play service,123,5.564925,172.30.1.250,172.30.1.1,TCP,88
Google Play service,124,5.565213,172.30.1.1,172.30.1.250,TLSv1.3,4000
Google Play service,125,5.565301,172.30.1.250,172.30.1.1,TCP,88
WhatsApp,126,5.61781,172.30.1.250,172.30.1.1,TCP,340
