Time,App name,No.,Source,Destination,Protocol,Length
0.0,WhatsApp,1.0,172.30.1.1,172.30.1.250,TCP,108
0.227566,WhatsApp,2.0,172.30.1.250,172.30.1.1,TCP,88
4.405919,Google Play service,3.0,172.30.1.1,172.30.1.250,DNS,112
4.453,Google Play service,4.0,172.30.1.250,172.30.1.1,DNS,368
4.458487,Google Play service,5.0,172.30.1.1,172.30.1.250,TCP,108
4.516483,Google Play service,6.0,172.30.1.250,172.30.1.1,TCP,96
4.516909,Google Play service,7.0,172.30.1.1,172.30.1.250,TCP,88
4.518747,Google Play service,8.0,172.30.1.1,172.30.1.250,TLSv1.3,808
4.519169,Google Play service,9.0,172.30.1.250,172.30.1.1,TCP,88
4.726844,Google Play service,10.0,172.30.1.250,172.30.1.1,TLSv1.3,416
4.72712,Google Play service,11.0,172.30.1.1,172.30.1.250,TCP,88
4.738501,Google Play service,12.0,172.30.1.1,172.30.1.250,TLSv1.3,160
4.738588,Google Play service,13.0,172.30.1.250,172.30.1.1,TCP,88
4.739149,Google Play service,14.0,172.30.1.1,172.30.1.250,TLSv1.3,184
4.739191,Google Play service,15.0,172.30.1.250,172.30.1.1,TCP,88
4.73944,Google Play service,16.0,172.30.1.1,172.30.1.250,TLSv1.3,488
4.739479,Google Play service,17.0,172.30.1.250,172.30.1.1,TCP,88
4.739644,Google Play service,18.0,172.30.1.1,172.30.1.250,TLSv1.3,1460
4.73967,Google Play service,19.0,172.30.1.250,172.30.1.1,TCP,88
4.785092,Google Fi,20.0,172.30.1.1,172.30.1.250,DNS,124
4.795124,Google Play service,21.0,172.30.1.250,172.30.1.1,TLSv1.3,980
4.795275,Google Play service,22.0,172.30.1.1,172.30.1.250,TCP,88
4.795512,Google Play service,23.0,172.30.1.1,172.30.1.250,TLSv1.3,120
4.795556,Google Play service,24.0,172.30.1.250,172.30.1.1,TCP,88
4.814097,Google Play service,25.0,172.30.1.250,172.30.1.1,TLSv1.3,612
4.814238,Google Play service,26.0,172.30.1.1,172.30.1.250,TCP,88
4.81849,Google Play service,27.0,172.30.1.1,172.30.1.250,TLSv1.3,128
4.818585,Google Play service,28.0,172.30.1.250,172.30.1.1,TCP,88
4.829668,Google Play service,29.0,172.30.1.1,172.30.1.250,TLSv1.3,160
4.829767,Google Play service,30.0,172.30.1.250,172.30.1.1,TCP,88
4.829979,Google Play service,31.0,172.30.1.1,172.30.1.250,TLSv1.3,736
4.830026,Google Play service,32.0,172.30.1.250,172.30.1.1,TCP,88
4.845973,Google Fi,33.0,172.30.1.250,172.30.1.1,DNS,380
4.856145,Google Fi,34.0,172.30.1.1,172.30.1.250,TCP,108
4.903266,Google Fi,35.0,172.30.1.250,172.30.1.1,TCP,96
4.903409,Google Fi,36.0,172.30.1.1,172.30.1.250,TCP,88
4.906593,Google Fi,37.0,172.30.1.1,172.30.1.250,TLSv1.3,604
4.906968,Google Fi,38.0,172.30.1.250,172.30.1.1,TCP,88
4.918115,Google Play service,39.0,172.30.1.250,172.30.1.1,TLSv1.3,516
4.918881,Google Play service,40.0,172.30.1.1,172.30.1.250,TLSv1.3,128
4.91892,Google Play service,41.0,172.30.1.250,172.30.1.1,TCP,88
4.943559,Google Play service,42.0,172.30.1.1,172.30.1.250,TLSv1.3,148
4.943641,Google Play service,43.0,172.30.1.250,172.30.1.1,TCP,88
4.943827,Google Play service,44.0,172.30.1.1,172.30.1.250,TLSv1.3,2444
4.943885,Google Play service,45.0,172.30.1.250,172.30.1.1,TCP,88
4.95711,Google Fi,46.0,172.30.1.250,172.30.1.1,TLSv1.3,2760
4.957317,Google Fi,47.0,172.30.1.1,172.30.1.250,TCP,88
4.960648,Google Fi,48.0,172.30.1.250,172.30.1.1,TLSv1.3,2088
4.960779,Google Fi,49.0,172.30.1.1,172.30.1.250,TCP,88
4.9771,Google Fi,50.0,172.30.1.1,172.30.1.250,TLSv1.3,152
4.977207,Google Fi,51.0,172.30.1.250,172.30.1.1,TCP,88
4.980102,Google Fi,52.0,172.30.1.1,172.30.1.250,TLSv1.3,400
4.980169,Google Fi,53.0,172.30.1.250,172.30.1.1,TCP,88
5.063103,Google Play service,54.0,172.30.1.250,172.30.1.1,TLSv1.3,552
5.066246,Google Play service,55.0,172.30.1.250,172.30.1.1,TLSv1.3,128
5.066427,Google Fi,56.0,172.30.1.250,172.30.1.1,TLSv1.3,3300
5.066812,Google Fi,57.0,172.30.1.1,172.30.1.250,TCP,88
5.066864,Google Fi,58.0,172.30.1.250,172.30.1.1,TLSv1.3,172
5.06695,Google Fi,59.0,172.30.1.1,172.30.1.250,TCP,88
5.068664,Google Play service,60.0,172.30.1.1,172.30.1.250,TCP,88
5.070173,Google Play service,61.0,172.30.1.1,172.30.1.250,TLSv1.3,128
5.07033,Google Play service,62.0,172.30.1.250,172.30.1.1,TCP,88
5.092534,Google Fi,63.0,172.30.1.1,172.30.1.250,DNS,108
5.151836,Google Fi,64.0,172.30.1.250,172.30.1.1,DNS,140
5.235218,WhatsApp,65.0,172.30.1.1,172.30.1.250,DNS,108
5.257669,Google Play service,66.0,172.30.1.1,172.30.1.250,TLSv1.3,148
5.25781,Google Play service,67.0,172.30.1.250,172.30.1.1,TCP,88
5.258291,Google Play service,68.0,172.30.1.1,172.30.1.250,TCP,10048
5.258426,Google Play service,69.0,172.30.1.1,172.30.1.250,TLSv1.3,6532
5.258534,Google Play service,70.0,172.30.1.250,172.30.1.1,TCP,88
5.267264,Google Play service,71.0,172.30.1.1,172.30.1.250,TLSv1.3,500
5.267294,Google Play service,72.0,172.30.1.250,172.30.1.1,TCP,88
5.319818,WhatsApp,73.0,172.30.1.250,172.30.1.1,DNS,148
5.32689,WhatsApp,74.0,172.30.1.1,172.30.1.250,TCP,108
5.381826,WhatsApp,75.0,172.30.1.250,172.30.1.1,TCP,96
5.382211,WhatsApp,76.0,172.30.1.1,172.30.1.250,TCP,88
5.391052,WhatsApp,77.0,172.30.1.1,172.30.1.250,TCP,244
5.391308,WhatsApp,78.0,172.30.1.250,172.30.1.1,TCP,88
5.391544,WhatsApp,79.0,172.30.1.1,172.30.1.250,TCP,92
5.391571,WhatsApp,80.0,172.30.1.250,172.30.1.1,TCP,88
5.391806,WhatsApp,81.0,172.30.1.1,172.30.1.250,TCP,88
5.391831,WhatsApp,82.0,172.30.1.250,172.30.1.1,TCP,88
5.392036,WhatsApp,83.0,172.30.1.1,172.30.1.250,TCP,88
5.39206,WhatsApp,84.0,172.30.1.250,172.30.1.1,TCP,88
5.392195,WhatsApp,85.0,172.30.1.1,172.30.1.250,TCP,372
5.392356,WhatsApp,86.0,172.30.1.250,172.30.1.1,TCP,88
5.392483,WhatsApp,87.0,172.30.1.1,172.30.1.250,TCP,88
5.392507,WhatsApp,88.0,172.30.1.250,172.30.1.1,TCP,88
5.392624,WhatsApp,89.0,172.30.1.1,172.30.1.250,TCP,88
5.392647,WhatsApp,90.0,172.30.1.250,172.30.1.1,TCP,88
5.461338,WhatsApp,91.0,172.30.1.250,172.30.1.1,TCP,216
5.461827,WhatsApp,92.0,172.30.1.1,172.30.1.250,TCP,88
5.468234,WhatsApp,93.0,172.30.1.250,172.30.1.1,TCP,212
5.468387,WhatsApp,94.0,172.30.1.1,172.30.1.250,TCP,88
5.4782,WhatsApp,95.0,172.30.1.1,172.30.1.250,TCP,88
5.478359,WhatsApp,96.0,172.30.1.250,172.30.1.1,TCP,88
5.478613,WhatsApp,97.0,172.30.1.1,172.30.1.250,TCP,88
5.478643,WhatsApp,98.0,172.30.1.250,172.30.1.1,TCP,88
5.478776,WhatsApp,99.0,172.30.1.1,172.30.1.250,TCP,88
5.478799,WhatsApp,100.0,172.30.1.250,172.30.1.1,TCP,88
5.478919,WhatsApp,101.0,172.30.1.1,172.30.1.250,TCP,292
5.478982,WhatsApp,102.0,172.30.1.250,172.30.1.1,TCP,88
