App name,No.,Time,Source,Destination,Protocol,Length
TestApp,1,0.0,172.30.1.250,172.30.1.1,TCP,1200
TestApp,2,0.124928,172.30.1.1,172.30.1.250,QUIC,1089
TestApp,3,0.150011,172.30.1.1,172.30.1.250,TLSv1.3,1034
TestApp,4,0.332451,172.30.1.1,172.30.1.250,QUIC,1373
TestApp,5,0.362278,172.30.1.250,172.30.1.1,TCP,1205
TestApp,6,0.680098,172.30.1.250,172.30.1.1,TCP,1216
TestApp,7,0.849538,172.30.1.250,172.30.1.1,QUIC,1261
TestApp,8,0.971113,172.30.1.250,172.30.1.1,TLSv1.3,1072
TestApp,9,1.371372,172.30.1.250,172.30.1.1,TLSv1.3,1395
TestApp,10,2.38338,172.30.1.250,172.30.1.1,TCP,1257
TestApp,11,2.734916,172.30.1.250,172.30.1.1,TCP,1318
TestApp,12,2.938569,172.30.1.1,172.30.1.250,QUIC,1229
TestApp,13,2.993276,172.30.1.250,172.30.1.1,QUIC,1245
TestApp,14,3.067923,172.30.1.250,172.30.1.1,TLSv1.3,1111
TestApp,15,3.363157,172.30.1.250,172.30.1.1,TLSv1.3,1013
TestApp,16,3.780784,172.30.1.250,172.30.1.1,TCP,1024
TestApp,17,4.256561,172.30.1.250,172.30.1.1,TCP,1278
TestApp,18,4.312647,172.30.1.250,172.30.1.1,TLSv1.3,1188
TestApp,19,4.456639,172.30.1.1,172.30.1.250,TCP,1246
TestApp,20,4.623702,172.30.1.250,172.30.1.1,TLSv1.3,1173
TestApp,21,4.953781,172.30.1.1,172.30.1.250,TCP,1252
TestApp,22,5.482647,172.30.1.250,172.30.1.1,TCP,1358
TestApp,23,5.488085,172.30.1.1,172.30.1.250,TCP,1256
TestApp,24,5.608345,172.30.1.1,172.30.1.250,QUIC,1155
TestApp,25,5.62366,172.30.1.250,172.30.1.1,QUIC,1357
TestApp,26,5.719909,172.30.1.250,172.30.1.1,TCP,1200
TestApp,27,5.778346,172.30.1.250,172.30.1.1,QUIC,1323
TestApp,28,5.940408,172.30.1.250,172.30.1.1,QUIC,1229
TestApp,29,6.037695,172.30.1.250,172.30.1.1,QUIC,1285
TestApp,30,6.158556,172.30.1.250,172.30.1.1,TCP,1443
TestApp,31,6.378617,172.30.1.1,172.30.1.250,QUIC,1143
TestApp,32,6.429451,172.30.1.250,172.30.1.1,TLSv1.3,1335
TestApp,33,6.799488,172.30.1.1,172.30.1.250,TLSv1.3,1232
TestApp,34,7.025089,172.30.1.250,172.30.1.1,QUIC,1431
TestApp,35,7.041772,172.30.1.250,172.30.1.1,TCP,1022
TestApp,36,7.093435,172.30.1.250,172.30.1.1,TLSv1.3,1405
TestApp,37,7.202449,172.30.1.1,172.30.1.250,QUIC,1170
TestApp,38,7.689464,172.30.1.250,172.30.1.1,QUIC,1135
TestApp,39,8.731703,172.30.1.1,172.30.1.250,QUIC,1000
TestApp,40,8.803666,172.30.1.250,172.30.1.1,QUIC,1439
TestApp,41,8.812496,172.30.1.1,172.30.1.250,TCP,1224
TestApp,42,9.070956,172.30.1.250,172.30.1.1,QUIC,1277
TestApp,43,9.090419,172.30.1.250,172.30.1.1,QUIC,1438
TestApp,44,9.173797,172.30.1.1,172.30.1.250,TLSv1.3,1026
