sim_step,imsi,dl_bps,dl_mbps,sinr_db,cqi,dl_buffer_bytes,dl_prb_granted,dl_prb_requested,dl_latency_ms
1,IMSI_0,3095128.6764705884,3.0951286764705883,-2.098677832201457,3.0,0.0,21.0,1.0,0.0
2,IMSI_0,589548.319327731,0.589548319327731,-2.098677832201457,3.0,0.0,4.0,1.0,0.0
2,IMSI_1,506827.731092437,0.506827731092437,-3.020830318908879,2.0,0.0,8.0,2.0,0.0
2,IMSI_2,506827.731092437,0.506827731092437,-2.980732831501172,2.0,0.0,8.0,2.0,0.0
3,IMSI_0,442161.2394957983,0.44216123949579833,-2.098677832201457,3.0,0.0,3.0,1.0,0.0
3,IMSI_1,316767.3319327731,0.3167673319327731,-3.020830318908879,2.0,0.0,5.0,2.0,0.0
3,IMSI_2,316767.3319327731,0.3167673319327731,-2.980732831501172,2.0,0.0,5.0,2.0,0.0
3,IMSI_3,965073.5294117647,0.9650735294117647,3.8354131204062183,5.0,0.0,3.0,1.0,0.0
3,IMSI_4,1213235.294117647,1.213235294117647,5.908438833281675,6.0,0.0,3.0,1.0,0.0
4,IMSI_0,294774.1596638655,0.2947741596638655,-2.098677832201457,3.0,0.0,2.0,1.0,0.0
4,IMSI_1,253413.8655462185,0.2534138655462185,-3.020830318908879,2.0,0.0,4.0,2.0,0.0
4,IMSI_2,253413.8655462185,0.2534138655462185,-2.980732831501172,2.0,0.0,4.0,2.0,0.0
4,IMSI_3,643382.3529411765,0.6433823529411765,3.8354131204062183,5.0,0.0,2.0,1.0,0.0
4,IMSI_4,808823.5294117647,0.8088235294117647,5.908438833281675,6.0,0.0,2.0,1.0,0.0
4,IMSI_5,294774.1596638655,0.2947741596638655,-2.216852681426628,3.0,0.0,2.0,1.0,0.0
4,IMSI_6,496323.5294117647,0.4963235294117647,0.8801820751300748,4.0,0.0,2.0,1.0,0.0
5,IMSI_0,294774.1596638655,0.2947741596638655,-2.098677832201457,3.0,0.0,2.0,1.0,0.0
5,IMSI_1,190060.39915966385,0.19006039915966386,-3.020830318908879,2.0,0.0,3.0,2.0,0.0
5,IMSI_2,190060.39915966385,0.19006039915966386,-2.980732831501172,2.0,0.0,3.0,2.0,0.0
5,IMSI_3,643382.3529411765,0.6433823529411765,3.8354131204062183,5.0,0.0,2.0,1.0,0.0
5,IMSI_4,808823.5294117647,0.8088235294117647,5.908438833281675,6.0,0.0,2.0,1.0,0.0
5,IMSI_5,294774.1596638655,0.2947741596638655,-2.216852681426628,3.0,0.0,2.0,1.0,0.0
5,IMSI_6,496323.5294117647,0.4963235294117647,0.8801820751300748,4.0,0.0,2.0,1.0,0.0
5,IMSI_7,496323.5294117647,0.4963235294117647,1.543109818763034,4.0,0.0,2.0,1.0,0.0
6,IMSI_0,294774.1596638655,0.2947741596638655,-2.098677832201457,3.0,0.0,2.0,1.0,0.0
6,IMSI_1,190060.39915966385,0.19006039915966386,-3.020830318908879,2.0,0.0,3.0,2.0,0.0
6,IMSI_2,190060.39915966385,0.19006039915966386,-2.980732831501172,2.0,0.0,3.0,2.0,0.0
6,IMSI_3,643382.3529411765,0.6433823529411765,3.8354131204062183,5.0,0.0,2.0,1.0,0.0
6,IMSI_4,808823.5294117647,0.8088235294117647,5.908438833281675,6.0,0.0,2.0,1.0,0.0
6,IMSI_5,294774.1596638655,0.2947741596638655,-2.216852681426628,3.0,0.0,2.0,1.0,0.0
6,IMSI_6,496323.5294117647,0.4963235294117647,0.8801820751300748,4.0,0.0,2.0,1.0,0.0
6,IMSI_7,496323.5294117647,0.4963235294117647,1.543109818763034,4.0,0.0,2.0,1.0,0.0
6,IMSI_8,643382.3529411765,0.6433823529411765,3.112280419614847,5.0,0.0,2.0,1.0,0.0
6,IMSI_9,917804.6218487395,0.9178046218487395,6.926268352156057,7.0,0.0,2.0,1.0,0.0
7,IMSI_0,294774.1596638655,0.2947741596638655,-2.098677832201457,3.0,0.0,2.0,1.0,0.0
7,IMSI_1,190060.39915966385,0.19006039915966386,-3.020830318908879,2.0,0.0,3.0,2.0,0.0
7,IMSI_2,190060.39915966385,0.19006039915966386,-2.980732831501172,2.0,0.0,3.0,2.0,0.0
7,IMSI_3,643382.3529411765,0.6433823529411765,3.8354131204062183,5.0,0.0,2.0,1.0,0.0
7,IMSI_4,808823.5294117647,0.8088235294117647,5.908438833281675,6.0,0.0,2.0,1.0,0.0
7,IMSI_5,294774.1596638655,0.2947741596638655,-2.216852681426628,3.0,0.0,2.0,1.0,0.0
7,IMSI_6,496323.5294117647,0.4963235294117647,0.8801820751300748,4.0,0.0,2.0,1.0,0.0
7,IMSI_7,496323.5294117647,0.4963235294117647,1.543109818763034,4.0,0.0,2.0,1.0,0.0
7,IMSI_8,643382.3529411765,0.6433823529411765,3.112280419614847,5.0,0.0,2.0,1.0,0.0
7,IMSI_9,917804.6218487395,0.9178046218487395,6.926268352156057,7.0,0.0,2.0,1.0,0.0
