Time,machine,slice,direction,Source,Destination,Length,time_bin,time_bin_sa
1.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,59.85,0.0,1.0
2.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,58.09,0.0,2.0
4.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,59.96,0.0,4.0
5.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,58.4,0.0,5.0
6.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,63.51,0.0,6.0
7.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,59.01,0.0,7.0
8.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,61.06,0.0,8.0
9.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,57.62,0.0,9.0
11.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,63.68,0.0,11.0
11.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,47.59,0.0,11.0
13.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,63.63,0.0,13.0
15.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,60.37,0.0,15.0
16.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,56.79,0.0,16.0
18.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,59.07,0.0,18.0
19.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,60.04,0.0,19.0
20.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,52.27,0.0,20.0
21.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,68.23,0.0,21.0
21.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,65.34,0.0,21.0
23.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,54.69,0.0,23.0
24.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,63.0,0.0,24.0
25.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,61.98,0.0,25.0
26.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,65.35,0.0,26.0
27.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,56.04,0.0,27.0
27.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,59.64,0.0,27.0
28.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,70.78,0.0,28.0
29.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,55.85,0.0,29.0
31.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,54.6,0.0,31.0
33.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,57.84,0.0,33.0
35.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,66.73,0.0,35.0
35.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,65.08,0.0,35.0
37.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,56.43,0.0,37.0
39.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,50.88,0.0,39.0
40.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,56.58,0.0,40.0
42.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,55.68,0.0,42.0
43.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,59.35,0.0,43.0
45.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,52.94,0.0,45.0
46.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,63.83,0.0,46.0
48.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,60.67,0.0,48.0
49.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,60.81,0.0,49.0
51.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,50.84,0.0,51.0
52.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,71.01,0.0,52.0
54.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,59.81,0.0,54.0
56.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,60.8,0.0,56.0
57.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,54.75,0.0,57.0
58.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,62.31,0.0,58.0
59.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,59.0,0.0,59.0
61.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,60.51,0.0,61.0
62.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,63.75,0.0,62.0
64.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,77.1,0.0,64.0
65.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,59.53,0.0,65.0
67.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,68.3,0.0,67.0
69.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,58.73,0.0,69.0
