time_ms,machine,slice,direction,src_ip,dst_ip,packet_size
1.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,59.85
2.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,58.09
4.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,59.96
5.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,58.4
6.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,63.51
7.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,59.01
8.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,61.06
9.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,57.62
11.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,63.68
11.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,47.59
13.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,63.63
15.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,60.37
16.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,56.79
18.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,59.07
19.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,60.04
20.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,52.27
21.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,68.23
21.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,65.34
23.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,54.69
24.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,63.0
25.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,61.98
26.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,65.35
27.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,56.04
27.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,59.64
28.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,70.78
29.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,55.85
31.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,54.6
33.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,57.84
35.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,66.73
35.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,65.08
37.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,56.43
39.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,50.88
40.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,56.58
42.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,55.68
43.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,59.35
45.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,52.94
46.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,63.83
48.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,60.67
49.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,60.81
51.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,50.84
52.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,71.01
54.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,59.81
56.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,60.8
57.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,54.75
58.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,62.31
59.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,59.0
61.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,60.51
62.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,63.75
64.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,77.1
65.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,59.53
67.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,68.3
69.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,58.73
69.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,58.68
70.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,67.71
71.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,60.7
73.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,57.24
73.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,60.69
75.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,60.71
77.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,62.53
78.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,62.38
80.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,64.12
81.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,55.88
81.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,56.52
82.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,63.27
83.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,69.0
84.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,60.36
85.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,58.11
85.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,63.65
86.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,64.56
87.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,67.38
89.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,59.47
89.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,57.65
91.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,54.16
92.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,59.38
94.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,56.76
96.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,63.46
96.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,59.48
98.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,68.52
99.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,54.12
100.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,53.51
101.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,57.44
103.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,67.64
104.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,60.06
105.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,57.55
106.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,51.02
106.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,62.07
107.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,49.66
109.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,57.92
110.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,52.38
112.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,63.19
113.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,54.49
113.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,55.09
115.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,65.11
116.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,60.3
117.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,59.03
119.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,54.1
119.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,65.44
121.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,63.15
122.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,57.73
123.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,58.62
125.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,67.68
126.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,70.25
127.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,59.88
127.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,63.23
128.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,65.84
129.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,64.39
129.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,62.28
