time_ms,machine,slice,direction,src_ip,dst_ip,packet_size,time_bin,time_bin_sa
1.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,11.0
2.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,11.0
4.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,11.0
5.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,11.0
6.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,11.0
7.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,11.0
8.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,11.0
9.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,11.0
11.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,76,0.0,11.0
11.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,61,0.0,11.0
13.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,75,0.0,13.0
15.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,13.0
16.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,13.0
18.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,13.0
19.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,13.0
20.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,13.0
21.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,61,0.0,21.0
21.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,21.0
23.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,63,0.0,23.0
24.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,69,0.0,24.0
25.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,65,0.0,25.0
26.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,53,0.0,26.0
27.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0,0.0,26.0
27.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0,0.0,26.0
28.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0,0.0,26.0
29.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0,0.0,26.0
31.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0,0.0,26.0
33.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,68,0.0,33.0
35.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,33.0
35.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,33.0
37.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,51,0.0,37.0
39.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,57,0.0,39.0
40.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,39.0
42.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,39.0
43.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,74,0.0,43.0
45.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,43.0
46.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,43.0
48.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,43.0
49.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,43.0
51.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,43.0
52.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,43.0
54.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,43.0
56.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,43.0
57.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,43.0
58.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,43.0
59.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,43.0
61.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,43.0
62.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,58,0.0,62.0
64.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,62.0
65.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,62.0
67.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,67,0.0,67.0
69.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,67.0
69.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,67.0
70.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,67.0
71.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,67.0
73.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,67,0.0,73.0
73.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0,0.0,73.0
75.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,61,0.0,75.0
77.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,61,0.0,77.0
78.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,77.0
80.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,77.0
81.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,77.0
81.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,64,0.0,81.0
82.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,81.0
83.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,81.0
84.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,81.0
85.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,81.0
85.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,59,0.0,85.0
86.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,85.0
87.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,0.0,85.0
89.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,53,0.0,89.0
89.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0,0.0,89.0
91.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0,0.0,89.0
92.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0,0.0,89.0
94.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0,0.0,89.0
96.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0,0.0,89.0
96.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0,0.0,89.0
98.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,59,0.0,98.0
99.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,58,0.0,99.0
100.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,71,100.0,100.0
101.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,100.0
103.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,100.0
104.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,100.0
105.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,64,100.0,105.0
106.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,105.0
106.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,105.0
107.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,105.0
109.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,105.0
110.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,105.0
112.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,105.0
113.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,105.0
113.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,60,100.0,113.0
115.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,50,100.0,115.0
116.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0,100.0,115.0
117.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,70,100.0,117.0
119.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,117.0
119.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,117.0
121.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,117.0
122.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,117.0
123.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,117.0
125.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,59,100.0,125.0
126.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,125.0
127.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,125.0
127.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,125.0
128.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,125.0
129.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,125.0
129.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,61,100.0,129.0
131.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,59,100.0,131.0
132.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,131.0
134.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,131.0
134.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,131.0
136.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,131.0
138.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,131.0
139.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,56,100.0,139.0
140.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0,100.0,139.0
141.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,65,100.0,141.0
143.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,141.0
144.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,141.0
146.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,63,100.0,146.0
148.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,146.0
149.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,68,100.0,149.0
150.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,149.0
150.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,56,100.0,150.0
152.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,150.0
152.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,66,100.0,152.0
153.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,70,100.0,153.0
155.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,153.0
156.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,153.0
157.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,153.0
159.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,153.0
161.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,56,100.0,161.0
161.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,161.0
162.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,76,100.0,162.0
163.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0,100.0,162.0
163.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,0,100.0,162.0
164.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0,100.0,162.0
165.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,59,100.0,165.0
166.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,165.0
167.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,165.0
169.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,165.0
170.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,165.0
172.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,165.0
173.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,165.0
174.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,74,100.0,174.0
175.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,174.0
177.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,174.0
178.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,174.0
180.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,55,100.0,180.0
182.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,180.0
184.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,72,100.0,184.0
185.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,69,100.0,185.0
187.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,185.0
188.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,185.0
189.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,185.0
190.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,185.0
191.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,185.0
192.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,185.0
194.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,185.0
196.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,65,100.0,196.0
197.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,61,100.0,197.0
198.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,53,100.0,198.0
199.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,198.0
201.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,198.0
202.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,198.0
202.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,198.0
204.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,100.0,198.0
204.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,51,200.0,204.0
206.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,200.0,204.0
208.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,50,200.0,208.0
209.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,60,200.0,209.0
210.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,59,200.0,210.0
212.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,62,200.0,212.0
214.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,67,200.0,214.0
214.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,72,200.0,214.0
215.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,64,200.0,215.0
217.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,48,200.0,217.0
247.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,200.0,217.0
267.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,0,200.0,217.0
277.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,76,200.0,277.0
287.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,55,200.0,287.0
297.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,0,200.0,287.0
