Time,machine,slice,direction,Source,Destination,Length
1.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,59.85
2.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,58.09
2.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,40.0
4.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,59.96
5.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,58.4
5.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,649.2
6.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,63.51
7.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,59.01
8.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,61.06
8.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,289.53
9.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,57.62
9.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,311.81
9.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,928.18
11.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,63.68
11.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,76.02
11.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,47.59
11.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,61.43
13.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,63.63
13.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,75.84
13.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,719.13
13.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,100.0
15.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,60.37
15.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,581.81
15.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
16.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,56.79
16.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
18.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,59.07
18.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,333.53
19.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,60.04
19.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,496.03
20.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,52.27
20.0,M3,eMBB,UL,10.0.0.3,192.168.0.1,771.09
21.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,68.23
21.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,61.84
21.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,65.34
23.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,54.69
23.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,63.92
23.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,564.04
24.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,63.0
24.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,69.87
24.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,40.0
25.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,61.98
25.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,65.86
26.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,65.35
26.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,53.88
27.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,56.04
27.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,59.64
28.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,70.78
29.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,55.85
31.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,54.6
33.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,57.84
33.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,68.65
33.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,768.85
35.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,66.73
35.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,65.08
37.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,56.43
37.5,M2,URLLC,UL,10.0.0.2,192.168.0.1,51.64
37.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,568.87
37.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,40.0
39.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,50.88
39.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,57.57
40.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,56.58
42.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,55.68
42.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
43.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,59.35
43.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,74.04
43.0,M3,eMBB,UL,10.0.0.3,192.168.0.1,249.11
45.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,52.94
46.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,63.83
48.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,60.67
48.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,1071.41
48.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,100.0
49.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,60.81
49.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,100.0
51.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,50.84
52.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,71.01
52.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,40.0
54.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,59.81
56.0,M1,URLLC,UL,10.0.0.1,192.168.0.1,60.8
57.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,54.75
58.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,62.31
59.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,59.0
61.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,60.51
61.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,515.18
61.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,100.0
62.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,63.75
62.0,M2,URLLC,DL,192.168.0.1,10.0.0.2,58.3
62.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,829.28
64.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,77.1
65.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,59.53
65.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,593.0
67.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,68.3
67.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,67.65
69.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,58.73
69.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,528.87
69.5,M1,URLLC,DL,192.168.0.1,10.0.0.1,58.68
69.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,40.0
70.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,67.71
71.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,60.7
73.0,M1,URLLC,DL,192.168.0.1,10.0.0.1,57.24
73.0,M2,URLLC,UL,10.0.0.2,192.168.0.1,67.39
73.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,60.69
73.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,416.73
75.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,60.71
75.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,61.52
77.5,M1,URLLC,UL,10.0.0.1,192.168.0.1,62.53
77.5,M2,URLLC,DL,192.168.0.1,10.0.0.2,61.22
