Time,machine,slice,direction,Source,Destination,Length
9.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,311.81
15.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,581.81
18.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,333.53
20.0,M3,eMBB,UL,10.0.0.3,192.168.0.1,771.09
23.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,564.04
37.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,568.87
43.0,M3,eMBB,UL,10.0.0.3,192.168.0.1,249.11
61.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,515.18
73.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,416.73
85.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,424.2
104.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,625.67
107.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,461.61
115.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,458.17
122.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,449.37
127.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,339.91
132.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,379.56
146.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,270.79
148.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,359.01
150.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,345.25
155.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,347.48
157.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,355.16
162.0,M3,eMBB,UL,10.0.0.3,192.168.0.1,833.62
163.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,203.46
172.0,M3,eMBB,UL,10.0.0.3,192.168.0.1,379.47
177.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,440.8
187.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,328.27
191.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,437.87
198.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,323.63
204.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,761.6
206.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,268.09
208.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,144.62
210.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,821.16
214.0,M3,eMBB,UL,10.0.0.3,192.168.0.1,592.25
247.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,504.56
267.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,429.38
277.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,397.67
287.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,530.49
297.0,M3,eMBB,UL,10.0.0.3,192.168.0.1,472.72
307.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,576.07
957.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,470.75
1810.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,464.4
1812.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,191.21
1813.0,M3,eMBB,UL,10.0.0.3,192.168.0.1,341.28
1815.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,214.33
1854.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,490.53
1858.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,181.85
1861.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,523.47
1867.0,M3,eMBB,UL,10.0.0.3,192.168.0.1,262.41
1871.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,561.05
1879.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,685.43
1883.0,M3,eMBB,UL,10.0.0.3,192.168.0.1,319.73
1903.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,657.37
1910.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,750.21
1921.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,208.64
1967.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,297.02
1987.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,198.02
2007.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,227.5
2029.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,218.17
2049.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,566.5
2054.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,258.82
2064.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,576.95
2069.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,215.57
2074.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,504.56
2079.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,916.38
2089.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,243.08
2109.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,487.21
2129.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,416.75
2134.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,219.83
2164.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,226.77
2184.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,281.85
2194.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,850.04
2204.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,250.9
2210.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,1550.7
2213.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,188.23
2248.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,287.51
2257.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,453.6
2265.0,M3,eMBB,UL,10.0.0.3,192.168.0.1,381.74
2270.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,331.7
2275.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,578.12
2293.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,236.32
2326.0,M3,eMBB,UL,10.0.0.3,192.168.0.1,446.02
2356.0,M3,eMBB,UL,10.0.0.3,192.168.0.1,652.92
2386.0,M3,eMBB,UL,10.0.0.3,192.168.0.1,309.5
2396.0,M3,eMBB,UL,10.0.0.3,192.168.0.1,340.54
2416.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,494.22
2426.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,284.6
2431.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,292.42
2441.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,658.26
2445.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,652.42
2452.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,1115.69
2459.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,211.55
2475.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,580.08
2480.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,455.93
2486.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,263.74
2497.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,769.6
2506.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,466.14
2508.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,294.18
2510.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,219.67
2517.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,121.76
2522.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,777.29
2525.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,295.94
3542.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,236.24
4042.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,198.52
5152.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,596.95
5212.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,302.2
5371.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,295.96
5378.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,1012.29
5380.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,800.51
5385.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,276.3
5394.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,540.79
5413.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,282.45
5414.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,590.99
5428.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,280.44
5455.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,389.22
5463.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,494.29
5467.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,550.0
5470.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,616.04
5502.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,392.42
5584.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,591.42
5604.0,M3,eMBB,UL,10.0.0.3,192.168.0.1,824.85
5635.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,446.27
5790.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,252.39
5795.5,M3,eMBB,UL,10.0.0.3,192.168.0.1,469.55
5805.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,161.61
5811.0,M3,eMBB,DL,192.168.0.1,10.0.0.3,678.36
5813.5,M3,eMBB,DL,192.168.0.1,10.0.0.3,247.93
