time_ms,machine,slice,direction,src_ip,dst_ip,packet_size,time_bin,time_bin_sa
1.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
2.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
4.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
5.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,649.2,0.0,5.0
6.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
7.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
8.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,289.53,0.0,8.0
9.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,928.18,0.0,9.0
11.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
11.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
13.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,719.13,0.0,13.0
15.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
16.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
18.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
19.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,496.03,0.0,19.0
20.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
21.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
21.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
23.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
24.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
25.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
26.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
27.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
27.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
28.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
29.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
31.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
33.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,768.85,0.0,33.0
35.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
35.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
37.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
39.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
40.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
42.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
43.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
45.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
46.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
48.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,1071.41,0.0,48.0
49.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
51.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
52.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
54.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
56.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
57.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
58.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
59.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
61.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
62.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,829.28,0.0,62.0
64.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
65.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,593.0,0.0,65.0
67.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
69.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,528.87,0.0,69.0
69.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
70.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
71.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
73.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
73.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
75.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
77.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
78.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
80.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
81.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
81.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
82.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
83.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
84.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,856.58,0.0,84.0
85.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,367.46,0.0,85.0
85.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
86.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,207.59,0.0,86.0
87.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
89.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
89.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
91.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
92.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
94.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
96.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
96.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,1285.41,0.0,96.0
98.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
99.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
100.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
101.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
103.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
104.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
105.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
106.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
106.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
107.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
109.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
110.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,273.88,100.0,110.0
112.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
113.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
113.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
115.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,327.31,100.0,115.0
116.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
117.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
119.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
119.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
121.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
122.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
123.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
125.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
126.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
127.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
127.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
128.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,348.18,100.0,128.0
129.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,965.82,100.0,129.0
129.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,310.62,100.0,129.0
131.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
132.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
134.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
134.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
136.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,1308.46,100.0,136.0
138.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
139.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
140.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
141.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
143.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
144.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
146.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
148.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
149.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
150.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
150.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
152.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
152.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
153.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
155.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,109.41,100.0,155.0
156.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
157.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
159.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
161.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
161.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,648.06,100.0,161.0
162.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
163.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
163.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
164.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
165.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
166.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
167.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,783.95,100.0,167.0
169.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,203.46,100.0,169.0
170.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
172.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
173.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
174.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,358.53,100.0,174.0
175.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
177.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
178.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
180.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
182.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
184.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
185.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
187.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,711.13,100.0,187.0
188.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
189.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
190.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
191.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
192.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,502.39,100.0,192.0
194.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
196.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
197.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
198.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
199.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
201.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
202.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
202.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
204.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
204.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
206.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
208.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
209.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
210.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
212.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
214.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
214.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
215.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
217.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
247.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
267.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,253.78,200.0,267.0
277.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
287.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
297.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
307.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
357.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
857.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
957.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1457.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1657.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,161.4,1600.0,1657.0
1757.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1807.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1808.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,298.87,1800.0,1808.0
1809.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1810.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1812.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1812.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1813.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,1012.42,1800.0,1813.0
1814.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1815.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1816.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1818.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,500.85,1800.0,1818.0
1820.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1821.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1823.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,772.92,1800.0,1823.0
1824.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1826.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,395.6,1800.0,1826.0
1827.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1828.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1830.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1832.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1833.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1834.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1835.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1837.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1839.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1841.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1842.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1843.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1844.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1846.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1846.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1847.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1847.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1849.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1850.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1852.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1854.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1856.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,920.69,1800.0,1856.0
1856.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1858.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1858.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1860.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,377.15,1800.0,1860.0
1861.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1862.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1862.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1864.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1865.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1866.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1867.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1868.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1869.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1870.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,190.5,1800.0,1870.0
1871.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1871.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1873.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1875.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,797.27,1800.0,1875.0
1877.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1878.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1879.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1880.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,425.11,1800.0,1880.0
1882.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1883.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1884.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,1017.38,1800.0,1884.0
1886.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1887.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1888.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1889.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1891.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1892.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1893.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1894.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1895.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1896.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,405.11,1800.0,1896.0
1898.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1899.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1900.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1901.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1901.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1903.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1904.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1905.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1905.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1907.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1908.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,556.89,1900.0,1908.0
1908.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,457.44,1900.0,1908.0
1909.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1910.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1911.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1912.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1914.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1914.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1916.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1917.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1919.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1919.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,791.96,1900.0,1919.0
1920.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,0.0,,
1920.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1921.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1923.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
1924.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,0.0,,
