time_ms,machine,slice,direction,src_ip,dst_ip,packet_size
5.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,649.2
8.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,289.53
9.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,928.18
13.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,719.13
19.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,496.03
33.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,768.85
48.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,1071.41
62.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,829.28
65.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,593.0
69.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,528.87
84.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,856.58
85.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,367.46
86.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,207.59
96.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,1285.41
110.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,273.88
115.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,327.31
128.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,348.18
129.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,965.82
129.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,310.62
136.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,1308.46
155.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,109.41
161.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,648.06
167.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,783.95
169.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,203.46
174.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,358.53
187.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,711.13
192.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,502.39
267.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,253.78
1657.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,161.4
1808.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,298.87
1813.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,1012.42
1818.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,500.85
1823.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,772.92
1826.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,395.6
1856.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,920.69
1860.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,377.15
1870.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,190.5
1875.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,797.27
1880.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,425.11
1884.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,1017.38
1896.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,405.11
1908.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,556.89
1908.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,457.44
1919.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,791.96
1926.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,639.48
1930.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,661.54
2129.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,140.73
2212.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,360.38
2216.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,112.41
2219.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,457.15
2235.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,142.71
2265.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,430.89
2267.0,M4,eMBB,UL,10.0.0.4,192.168.0.1,151.48
2270.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,752.87
2274.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,1030.61
2275.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,1736.71
2292.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,650.19
2298.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,256.76
2313.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,1774.45
2443.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,1183.79
2448.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,660.12
2454.5,M4,eMBB,UL,10.0.0.4,192.168.0.1,754.48
2458.5,M4,eMBB,DL,192.168.0.1,10.0.0.4,443.54
2473.0,M4,eMBB,DL,192.168.0.1,10.0.0.4,587.69
