Time,Source,Destination,Length
0.0,172.30.1.250,172.30.1.1,306
0.1,172.30.1.250,172.30.1.1,362
0.2,172.30.1.1,172.30.1.250,488
0.3,172.30.1.1,172.30.1.250,489
0.4,172.30.1.250,172.30.1.1,322
0.5,172.30.1.250,172.30.1.1,308
0.6,172.30.1.1,172.30.1.250,355
0.7,172.30.1.1,172.30.1.250,454
0.8,172.30.1.1,172.30.1.250,350
0.9,172.30.1.250,172.30.1.1,479
1.0,172.30.1.250,172.30.1.1,356
1.1,172.30.1.1,172.30.1.250,371
1.2,172.30.1.250,172.30.1.1,301
1.3,172.30.1.250,172.30.1.1,340
1.4,172.30.1.250,172.30.1.1,387
1.5,172.30.1.1,172.30.1.250,355
1.6,172.30.1.250,172.30.1.1,386
1.7,172.30.1.1,172.30.1.250,397
1.8,172.30.1.1,172.30.1.250,388
1.9,172.30.1.250,172.30.1.1,311
2.0,172.30.1.250,172.30.1.1,437
2.1,172.30.1.1,172.30.1.250,396
2.2,172.30.1.1,172.30.1.250,375
2.3,172.30.1.250,172.30.1.1,458
2.4,172.30.1.250,172.30.1.1,392
2.5,172.30.1.250,172.30.1.1,480
2.6,172.30.1.1,172.30.1.250,469
2.7,172.30.1.1,172.30.1.250,374
2.8,172.30.1.250,172.30.1.1,359
2.9,172.30.1.250,172.30.1.1,397
3.0,172.30.1.1,172.30.1.250,462
3.1,172.30.1.250,172.30.1.1,341
3.2,172.30.1.1,172.30.1.250,353
3.3,172.30.1.250,172.30.1.1,479
3.4,172.30.1.250,172.30.1.1,465
3.5,172.30.1.1,172.30.1.250,462
3.6,172.30.1.1,172.30.1.250,486
3.7,172.30.1.1,172.30.1.250,418
3.8,172.30.1.1,172.30.1.250,463
3.9,172.30.1.250,172.30.1.1,356
4.0,172.30.1.250,172.30.1.1,496
4.1,172.30.1.250,172.30.1.1,358
4.2,172.30.1.250,172.30.1.1,380
4.3,172.30.1.1,172.30.1.250,316
4.4,172.30.1.1,172.30.1.250,445
4.5,172.30.1.250,172.30.1.1,380
4.6,172.30.1.1,172.30.1.250,427
4.7,172.30.1.1,172.30.1.250,464
4.8,172.30.1.1,172.30.1.250,367
4.9,172.30.1.1,172.30.1.250,490
5.0,172.30.1.250,172.30.1.1,367
5.1,172.30.1.250,172.30.1.1,409
5.2,172.30.1.250,172.30.1.1,402
5.3,172.30.1.1,172.30.1.250,335
