time_ms,machine,slice,direction,src_ip,dst_ip,packet_size
2.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,40.0
13.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,100.0
15.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
16.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
24.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,40.0
37.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,40.0
42.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
48.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,100.0
49.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,100.0
52.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,40.0
61.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,100.0
69.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,40.0
84.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,60.0
92.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,40.0
94.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
100.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,40.0
152.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
155.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
161.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,100.0
161.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
170.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
174.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
177.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,40.0
178.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,100.0
190.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,60.0
196.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
199.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,40.0
202.5,M5,mMTC,UL,10.0.0.5,192.168.0.1,100.0
204.0,M5,mMTC,UL,10.0.0.5,192.168.0.1,20.0
