App name,No.,Time,Source,Destination,Protocol,Length
YouTube,1,0.0,172.30.1.1,172.30.1.250,QUIC,7188
YouTube,2,0.002605,172.30.1.250,172.30.1.1,QUIC,4018
YouTube,3,0.00521,172.30.1.1,172.30.1.250,QUIC,2759
YouTube,4,0.007815,172.30.1.1,172.30.1.250,QUIC,11736
YouTube,5,0.010419,172.30.1.1,172.30.1.250,QUIC,12525
YouTube,6,0.013024,172.30.1.1,172.30.1.250,QUIC,6939
YouTube,7,0.015629,172.30.1.250,172.30.1.1,QUIC,2029
YouTube,8,0.018234,172.30.1.250,172.30.1.1,QUIC,3008
YouTube,9,0.020839,172.30.1.1,172.30.1.250,QUIC,7412
YouTube,10,0.023444,172.30.1.1,172.30.1.250,QUIC,10933
YouTube,11,0.026048,172.30.1.1,172.30.1.250,QUIC,13200
YouTube,12,0.028653,172.30.1.1,172.30.1.250,QUIC,8235
YouTube,13,0.031258,172.30.1.1,172.30.1.250,QUIC,11751
YouTube,14,0.033863,172.30.1.1,172.30.1.250,QUIC,1722
YouTube,15,0.036468,172.30.1.250,172.30.1.1,QUIC,2736
YouTube,16,0.039073,172.30.1.1,172.30.1.250,QUIC,1826
YouTube,17,0.041678,172.30.1.250,172.30.1.1,QUIC,9123
YouTube,18,0.044282,172.30.1.1,172.30.1.250,QUIC,1444
YouTube,19,0.046887,172.30.1.1,172.30.1.250,QUIC,3441
YouTube,20,0.049492,172.30.1.1,172.30.1.250,QUIC,7183
YouTube,21,0.052097,172.30.1.250,172.30.1.1,QUIC,2849
YouTube,22,0.054702,172.30.1.1,172.30.1.250,QUIC,6822
YouTube,23,0.057307,172.30.1.1,172.30.1.250,QUIC,14144
YouTube,24,0.059911,172.30.1.1,172.30.1.250,QUIC,3133
YouTube,25,0.062516,172.30.1.250,172.30.1.1,QUIC,5451
YouTube,26,0.065121,172.30.1.1,172.30.1.250,QUIC,14653
YouTube,27,0.067726,172.30.1.1,172.30.1.250,QUIC,1969
YouTube,28,0.070331,172.30.1.1,172.30.1.250,QUIC,4639
YouTube,29,0.072936,172.30.1.250,172.30.1.1,QUIC,3622
YouTube,30,0.075541,172.30.1.1,172.30.1.250,QUIC,8947
YouTube,31,0.078145,172.30.1.1,172.30.1.250,QUIC,5105
YouTube,32,0.08075,172.30.1.1,172.30.1.250,QUIC,6734
YouTube,33,0.083355,172.30.1.1,172.30.1.250,QUIC,10040
YouTube,34,0.08596,172.30.1.1,172.30.1.250,QUIC,6139
YouTube,35,0.088565,172.30.1.1,172.30.1.250,QUIC,9712
YouTube,36,0.09117,172.30.1.250,172.30.1.1,QUIC,6347
YouTube,37,0.093774,172.30.1.1,172.30.1.250,QUIC,3408
YouTube,38,0.096379,172.30.1.1,172.30.1.250,QUIC,12825
YouTube,39,0.098984,172.30.1.1,172.30.1.250,QUIC,12452
YouTube,40,0.101589,172.30.1.1,172.30.1.250,QUIC,3410
YouTube,41,0.104194,172.30.1.1,172.30.1.250,QUIC,13060
YouTube,42,0.106799,172.30.1.1,172.30.1.250,QUIC,9467
YouTube,43,0.109403,172.30.1.1,172.30.1.250,QUIC,13932
YouTube,44,0.112008,172.30.1.250,172.30.1.1,QUIC,12161
YouTube,45,0.114613,172.30.1.1,172.30.1.250,QUIC,14491
YouTube,46,0.117218,172.30.1.1,172.30.1.250,QUIC,13433
YouTube,47,0.119823,172.30.1.1,172.30.1.250,QUIC,4016
YouTube,48,0.122428,172.30.1.1,172.30.1.250,QUIC,2718
YouTube,49,0.125033,172.30.1.1,172.30.1.250,QUIC,1396
YouTube,50,0.127637,172.30.1.250,172.30.1.1,QUIC,4176
YouTube,51,0.130242,172.30.1.250,172.30.1.1,QUIC,8194
YouTube,52,0.132847,172.30.1.1,172.30.1.250,QUIC,13153
YouTube,53,0.135452,172.30.1.1,172.30.1.250,QUIC,4976
YouTube,54,0.138057,172.30.1.1,172.30.1.250,QUIC,13276
YouTube,55,0.140662,172.30.1.1,172.30.1.250,QUIC,5876
YouTube,56,0.143266,172.30.1.1,172.30.1.250,QUIC,7228
YouTube,57,0.145871,172.30.1.1,172.30.1.250,QUIC,7592
YouTube,58,0.148476,172.30.1.1,172.30.1.250,QUIC,12862
YouTube,59,0.151081,172.30.1.250,172.30.1.1,QUIC,3616
YouTube,60,0.153686,172.30.1.1,172.30.1.250,QUIC,8615
YouTube,61,0.156291,172.30.1.1,172.30.1.250,QUIC,11582
YouTube,62,0.158896,172.30.1.250,172.30.1.1,QUIC,4987
YouTube,63,0.1615,172.30.1.1,172.30.1.250,QUIC,1513
YouTube,64,0.164105,172.30.1.1,172.30.1.250,QUIC,10221
YouTube,65,0.16671,172.30.1.250,172.30.1.1,QUIC,10481
YouTube,66,0.169315,172.30.1.1,172.30.1.250,QUIC,4586
YouTube,67,0.17192,172.30.1.1,172.30.1.250,QUIC,14710
YouTube,68,0.174525,172.30.1.1,172.30.1.250,QUIC,5951
YouTube,69,0.177129,172.30.1.1,172.30.1.250,QUIC,11872
YouTube,70,0.179734,172.30.1.250,172.30.1.1,QUIC,7725
YouTube,71,0.182339,172.30.1.1,172.30.1.250,QUIC,10682
YouTube,72,0.184944,172.30.1.1,172.30.1.250,QUIC,11441
YouTube,73,0.187549,172.30.1.1,172.30.1.250,QUIC,4545
YouTube,74,0.190154,172.30.1.1,172.30.1.250,QUIC,11081
YouTube,75,0.192759,172.30.1.1,172.30.1.250,QUIC,5680
YouTube,76,0.195363,172.30.1.1,172.30.1.250,QUIC,9849
YouTube,77,0.197968,172.30.1.1,172.30.1.250,QUIC,14179
YouTube,78,0.200573,172.30.1.1,172.30.1.250,QUIC,13570
YouTube,79,0.203178,172.30.1.1,172.30.1.250,QUIC,2996
YouTube,80,0.205783,172.30.1.1,172.30.1.250,QUIC,1780
YouTube,81,0.208388,172.30.1.1,172.30.1.250,QUIC,11013
YouTube,82,0.210992,172.30.1.1,172.30.1.250,QUIC,5247
YouTube,83,0.213597,172.30.1.1,172.30.1.250,QUIC,13967
YouTube,84,0.216202,172.30.1.1,172.30.1.250,QUIC,8331
YouTube,85,0.218807,172.30.1.250,172.30.1.1,QUIC,5904
YouTube,86,0.221412,172.30.1.1,172.30.1.250,QUIC,10382
YouTube,87,0.224017,172.30.1.1,172.30.1.250,QUIC,8362
YouTube,88,0.226622,172.30.1.250,172.30.1.1,QUIC,10087
YouTube,89,0.229226,172.30.1.1,172.30.1.250,QUIC,6274
YouTube,90,0.231831,172.30.1.1,172.30.1.250,QUIC,4052
YouTube,91,0.234436,172.30.1.1,172.30.1.250,QUIC,12116
YouTube,92,0.237041,172.30.1.250,172.30.1.1,QUIC,7223
YouTube,93,0.239646,172.30.1.1,172.30.1.250,QUIC,7070
YouTube,94,0.242251,172.30.1.1,172.30.1.250,QUIC,6776
YouTube,95,0.244855,172.30.1.1,172.30.1.250,QUIC,11242
YouTube,96,0.24746,172.30.1.1,172.30.1.250,QUIC,6824
YouTube,97,0.250065,172.30.1.1,172.30.1.250,QUIC,12542
YouTube,98,0.25267,172.30.1.1,172.30.1.250,QUIC,10514
YouTube,99,0.255275,172.30.1.1,172.30.1.250,QUIC,5752
YouTube,100,0.25788,172.30.1.1,172.30.1.250,QUIC,8271
YouTube,101,0.260485,172.30.1.1,172.30.1.250,QUIC,6294
YouTube,102,0.263089,172.30.1.1,172.30.1.250,QUIC,1232
YouTube,103,0.265694,172.30.1.1,172.30.1.250,QUIC,3600
YouTube,104,0.268299,172.30.1.1,172.30.1.250,QUIC,12531
YouTube,105,0.270904,172.30.1.1,172.30.1.250,QUIC,8670
YouTube,106,0.273509,172.30.1.1,172.30.1.250,QUIC,1462
