App name,No.,Time,Source,Destination,Protocol,Length
TestApp,1,0.0,172.30.1.250,172.30.1.1,QUIC,1140
TestApp,2,0.001,172.30.1.250,172.30.1.1,QUIC,1224
TestApp,3,0.002,172.30.1.250,172.30.1.1,TCP,1110
TestApp,4,0.003,172.30.1.250,172.30.1.1,TCP,1152
TestApp,5,0.004,172.30.1.250,172.30.1.1,TLSv1.3,1290
TestApp,6,0.005,172.30.1.250,172.30.1.1,QUIC,1349
TestApp,7,0.006,172.30.1.250,172.30.1.1,QUIC,1027
TestApp,8,0.007,172.30.1.250,172.30.1.1,QUIC,1173
TestApp,9,0.008,172.30.1.250,172.30.1.1,TCP,1404
TestApp,10,0.009,172.30.1.250,172.30.1.1,TLSv1.3,1056
TestApp,11,0.01,172.30.1.250,172.30.1.1,TLSv1.3,1498
TestApp,12,0.011,172.30.1.250,172.30.1.1,TCP,1420
TestApp,13,0.012,172.30.1.250,172.30.1.1,TCP,1105
TestApp,14,0.013,172.30.1.250,172.30.1.1,QUIC,1417
TestApp,15,0.014,172.30.1.250,172.30.1.1,TCP,1442
TestApp,16,0.015,172.30.1.250,172.30.1.1,TCP,1382
TestApp,17,0.016,172.30.1.250,172.30.1.1,QUIC,1392
TestApp,18,0.017,172.30.1.250,172.30.1.1,TCP,1371
TestApp,19,0.018,172.30.1.250,172.30.1.1,TLSv1.3,1499
TestApp,20,0.019,172.30.1.250,172.30.1.1,TLSv1.3,1249
TestApp,21,0.02,172.30.1.250,172.30.1.1,TLSv1.3,1147
TestApp,22,0.021,172.30.1.250,172.30.1.1,QUIC,1482
TestApp,23,0.022,172.30.1.250,172.30.1.1,TCP,1356
TestApp,24,0.023,172.30.1.250,172.30.1.1,TLSv1.3,1049
TestApp,25,0.024,172.30.1.250,172.30.1.1,QUIC,1259
TestApp,26,0.025,172.30.1.250,172.30.1.1,TLSv1.3,1120
TestApp,27,0.026,172.30.1.250,172.30.1.1,TCP,1131
